FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH
0,0,0,0,2.25,3.2,2.8,2.4,3.3,2.6,2.4,3.2,2.85,2.4,3.0,2.6,2.25,3.2,2.75,2.3,3.25,2.8,2.37,3.1,2.62,1.71,2.0,1.75,2.05,2.1,1.67,-0.25,1.78,2.06,0.0,1.8,2.1,0.0
2,0,1,0,1.571,3.6,5.0,1.5,3.9,5.6,1.65,3.4,5.6,1.6,3.4,4.6,1.571,3.5,5.0,1.61,3.4,5.5,1.57,3.5,5.0,1.65,2.05,1.75,2.05,2.1,1.67,-1,1.74,2.1,-0.75,1.775,2.125,-0.75
3,0,2,0,2.3,3.2,2.7,2.4,3.3,2.6,2.3,3.25,3.0,2.2,3.0,2.9,2.2,3.25,2.75,2.25,3.2,2.9,2.2,3.2,2.8,1.71,2.0,1.7,2.1,1.7,2.05,0,1.98,1.86,-0.25,2.025,1.875,-0.25
2,2,2,0,1.8330000000000002,3.25,3.75,1.8,3.4,3.95,1.9,3.4,3.85,1.85,3.1,3.6,1.909,3.2,3.5,1.85,3.3,3.8,1.95,3.3,3.25,1.71,2.0,1.7,2.1,1.65,2.15,-0.25,1.82,2.02,-0.5,1.9,2.0,-0.5
2,3,0,2,1.909,3.25,3.5,1.9,3.3,3.7,1.95,3.3,3.7,1.85,3.1,3.6,1.909,3.2,3.5,1.9,3.25,3.75,1.83,3.3,3.6,1.75,1.95,1.7,2.1,1.67,2.1,-0.25,1.92,1.92,-0.5,1.975,1.925,-0.5
1,1,0,0,2.25,3.25,2.75,2.0,3.35,3.3,2.2,3.25,3.15,2.0,3.1,3.2,2.2,3.2,2.8,2.2,3.25,3.0,2.0,3.2,3.2,1.71,2.0,1.8,2.0,1.55,2.3,0,1.92,1.92,-0.25,1.95,1.95,-0.25
2,2,1,0,2.75,3.0,2.37,2.9,3.3,2.2,2.85,3.2,2.4,2.5,3.0,2.5,2.6,3.2,2.38,2.75,3.2,2.38,2.5,3.1,2.5,1.71,2.0,1.8,2.0,2.12,1.75,0,2.1,1.74,0.0,2.125,1.775,0.0
1,2,1,1,2.3,3.2,2.7,2.2,3.3,2.9,2.4,3.2,2.85,2.3,3.0,2.7,2.38,3.2,2.6,2.38,3.2,2.75,2.5,3.1,2.5,1.65,2.05,1.65,2.2,2.1,1.7,-0.25,2.12,1.72,-0.25,1.775,2.125,0.0
2,1,1,0,2.2,3.25,2.8,2.05,3.3,3.2,2.15,3.25,3.25,1.85,3.1,3.6,2.2,3.2,2.8,2.25,3.25,2.88,2.0,3.2,3.2,1.71,2.0,1.66,2.15,1.55,2.3,0,1.82,2.02,-0.25,1.9,2.0,-0.25
2,2,0,1,1.4,3.75,7.5,1.45,3.9,6.3,1.45,3.9,7.5,1.45,3.8,5.4,1.44,3.6,6.5,1.5,3.6,6.5,1.44,3.6,6.5,1.6,2.15,1.61,2.25,2.15,1.65,-1.25,1.76,2.08,-1.0,1.8,2.1,-1.0
