FTHG,FTAG,HTHG,HTAG,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
0,1,0,1,2.8,3.15,2.27,2.9,3.0,2.2,2.5,3.25,2.4,2.6,3.2,2.4,2.6,3.2,2.38,2.8,3.0,2.3
0,0,0,0,2.55,3.1,2.5,2.5,3.0,2.5,2.75,3.2,2.25,2.6,3.1,2.5,2.6,3.2,2.38,2.5,3.1,2.5
0,0,0,0,1.45,3.8,6.2,1.5,3.7,5.0,1.57,3.25,5.5,1.5,3.5,6.0,1.44,3.75,6.5,1.5,3.4,6.0
5,0,2,0,1.25,5.0,9.0,1.3,4.2,8.0,1.28,4.33,9.0,1.29,4.5,9.5,1.25,4.5,11.0,1.28,4.33,8.5
0,0,0,0,2.2,3.1,2.95,2.3,3.0,2.7,2.25,3.2,2.75,2.25,3.2,2.8,2.25,3.25,2.75,2.25,3.1,2.8
1,0,0,0,1.71,3.35,4.3,1.8,3.1,3.8,1.67,3.25,4.5,1.67,3.25,4.75,1.73,3.25,4.33,1.72,3.1,4.5
0,1,0,0,4.3,3.35,1.71,4.2,3.2,1.7,4.0,3.4,1.73,4.5,3.25,1.67,4.0,3.2,1.8,4.33,3.4,1.66
2,1,0,1,1.68,3.4,4.4,1.7,3.2,4.2,1.67,3.25,4.5,1.67,3.3,4.5,1.67,3.4,4.5,1.72,3.25,4.2
2,0,1,0,2.4,3.1,2.65,2.3,3.0,2.7,2.37,3.2,2.6,2.3,3.2,2.7,2.38,3.2,2.6,2.25,3.2,2.75
4,0,2,0,1.85,3.25,3.75,2.0,3.0,3.3,1.8,3.2,4.0,2.05,2.9,4.0,1.83,3.25,3.75,2.0,2.8,3.75
1,1,1,1,3.8,3.3,1.82,3.8,3.1,1.8,4.33,3.2,1.73,4.0,3.25,1.8,3.6,3.4,1.83,3.75,3.3,1.8
4,0,2,0,2.45,3.15,2.55,2.2,3.0,2.9,2.5,2.87,2.62,2.6,2.9,2.7,2.62,3.2,2.38,2.5,3.1,2.5
2,2,1,0,1.28,4.4,9.3,1.35,4.0,7.0,1.36,3.75,8.0,1.29,4.5,9.0,1.3,4.5,8.0,1.25,5.0,8.0
2,1,1,1,1.5,3.65,5.7,1.55,3.5,4.8,1.5,3.4,6.0,1.53,3.4,6.0,1.57,3.4,5.5,1.5,3.4,6.0
1,3,1,0,1.5,3.5,6.1,1.65,3.3,4.4,1.44,3.6,6.5,1.5,3.4,6.5,1.44,3.75,6.5,1.5,3.4,6.0
3,2,2,0,1.43,3.7,6.8,1.4,3.9,6.0,1.44,3.6,6.5,1.4,3.75,7.5,1.44,3.75,6.5,1.44,3.5,7.0
0,2,0,0,2.05,3.1,3.25,2.1,3.0,3.1,2.1,3.25,3.0,2.1,3.1,3.2,2.0,3.25,3.25,1.9,3.25,3.4
3,1,1,1,2.68,3.1,2.38,2.5,3.0,2.5,2.75,3.2,2.25,2.6,3.1,2.5,,,,2.62,3.1,2.37
3,4,1,1,,,,1.9,3.1,3.5,1.73,3.2,4.33,1.83,3.1,4.2,1.67,3.4,4.5,1.8,3.1,4.0
1,1,1,0,2.3,3.2,2.7,2.2,3.0,2.9,2.25,3.2,2.75,2.4,3.1,2.8,2.25,3.25,2.75,2.37,3.1,2.62
6,1,3,0,1.25,4.8,9.25,1.25,4.5,9.0,1.25,5.0,8.0,1.25,5.0,9.0,1.3,4.5,8.0,1.25,4.5,10.0
1,0,0,0,1.7,3.4,4.4,1.7,3.2,4.2,1.8,3.2,4.0,1.7,3.0,4.8,1.8,3.2,4.0,1.72,3.2,4.33
1,2,1,1,1.42,3.75,6.8,1.5,3.7,5.0,1.4,3.75,7.0,1.44,3.6,7.0,1.4,3.75,7.5,1.4,3.6,7.5
5,1,2,1,1.4,3.85,7.0,1.45,3.8,5.4,1.36,3.75,8.0,1.4,3.75,7.5,1.4,4.0,6.5,1.36,3.75,8.0
1,2,0,1,2.1,3.15,3.1,2.0,3.1,3.2,2.1,3.2,3.0,2.1,3.1,3.2,2.2,3.2,2.88,2.2,3.0,3.0
2,1,0,1,1.85,3.2,3.8,2.0,3.1,3.2,1.83,3.2,3.75,1.91,3.2,3.6,1.8,3.4,3.75,1.83,3.3,3.6
1,2,1,1,2.85,3.25,2.2,2.9,3.0,2.2,2.75,3.2,2.25,3.0,3.1,2.2,2.8,3.25,2.2,2.87,3.1,2.2
0,3,0,2,2.0,3.2,3.3,2.0,3.1,3.2,1.73,3.4,4.0,1.91,3.2,3.6,2.0,3.25,3.25,2.1,3.2,3.0
0,3,0,2,3.6,3.2,1.9,3.6,3.1,1.85,3.5,3.2,1.91,3.5,3.25,1.91,3.5,3.25,1.91,4.0,3.1,1.8
0,2,0,0,4.8,3.55,1.6,4.4,3.3,1.65,4.5,3.25,1.67,5.0,3.4,1.62,4.5,3.6,1.62,5.0,3.3,1.61
0,0,0,0,1.8,3.25,3.95,1.75,3.2,4.0,1.8,3.2,4.0,1.73,3.25,4.33,1.73,3.25,4.33,1.72,3.2,4.33
2,0,0,0,1.9,3.2,3.6,1.8,3.1,3.8,1.91,3.25,3.4,1.8,3.25,4.0,1.91,3.25,3.5,1.83,3.3,3.6
3,0,1,0,1.6,3.5,4.9,1.7,3.2,4.2,1.61,3.5,4.5,1.57,3.4,5.5,1.57,3.4,5.5,1.57,3.5,5.0
1,0,0,0,2.67,3.1,2.4,2.5,3.0,2.5,2.62,3.4,2.25,2.7,3.2,2.3,2.75,3.25,2.25,2.5,3.25,2.4
