FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH
1,3,0,1,2.2,3.0,3.1,2.25,3.1,3.0,2.3,3.1,3.1,2.3,2.8,2.9,2.2,3.2,2.8,2.25,3.1,3.0,2.15,3.1,3.0,2.0,1.71,2.1,1.7,1.67,2.1,0.0,2.08,1.76,-0.25,2.1,1.8,-0.25
3,2,2,1,1.72,3.25,4.33,1.7,3.3,4.75,1.75,3.35,4.75,1.7,3.2,4.2,1.67,3.25,4.5,1.73,3.4,4.5,1.7,3.2,4.5,1.9,1.79,2.1,1.7,2.05,1.7,-0.75,2.1,1.74,-0.75,2.1,1.8,-0.75
1,2,0,0,1.53,3.5,7.0,1.5,3.55,6.5,1.53,3.7,6.5,1.45,3.8,5.4,1.57,3.25,5.5,1.53,3.6,6.0,1.5,3.4,6.0,1.85,1.85,1.95,1.85,2.2,1.6,-1.25,1.96,1.88,-1.0,2.0,1.9,-1.0
2,1,1,1,1.83,3.25,3.75,1.95,3.25,3.5,1.9,3.3,4.0,1.9,3.1,3.5,1.73,3.2,4.33,1.91,3.25,3.75,1.9,3.1,3.6,1.75,1.95,1.9,1.9,1.6,2.2,-0.25,2.0,1.84,-0.5,2.05,1.85,-0.5
1,1,1,0,2.4,3.2,2.6,2.55,3.15,2.55,2.5,3.2,2.75,2.5,3.0,2.5,2.4,3.1,2.6,2.4,3.2,2.7,2.5,3.1,2.5,2.05,1.65,2.1,1.7,1.9,1.9,0.0,1.92,1.92,0.0,1.925,1.975,0.0
1,0,1,0,2.0,3.25,3.5,1.95,3.25,3.55,2.0,3.25,3.7,1.85,3.1,3.6,1.91,3.2,3.5,2.0,3.2,3.5,1.9,3.25,3.4,1.9,1.79,2.05,1.75,2.0,1.73,-0.5,2.0,1.84,-0.5,2.0,1.9,-0.5
1,0,1,0,2.37,3.2,2.62,2.2,3.2,3.0,2.4,3.1,2.95,2.3,2.9,2.8,2.38,3.0,2.75,2.4,3.1,2.8,2.37,3.1,2.62,2.05,1.65,2.15,1.66,1.75,2.0,0.0,2.12,1.72,-0.25,2.125,1.775,-0.25
3,0,2,0,1.33,4.5,9.0,1.3,4.7,8.25,1.3,4.8,10.0,1.35,4.0,7.0,1.3,4.0,9.0,1.33,4.5,8.0,1.33,4.0,8.0,1.6,2.15,1.7,2.1,1.8,2.0,-1.25,1.9,1.94,-1.25,2.15,1.75,-1.5
0,2,0,0,2.25,3.2,2.8,2.1,3.2,3.2,2.25,3.2,3.1,2.3,2.9,2.8,2.2,3.2,2.8,2.3,3.2,2.88,2.25,3.1,2.8,2.0,1.71,2.05,1.75,2.05,1.75,-0.25,2.08,1.76,-0.25,2.125,1.775,-0.25
0,2,0,0,2.0,3.2,3.3,2.0,3.25,3.4,2.1,3.25,3.4,2.0,3.0,3.3,1.91,3.2,3.5,2.0,3.25,3.4,2.15,3.1,3.0,2.0,1.71,2.05,1.75,1.8,2.0,-0.25,1.82,2.02,-0.25,1.825,2.075,-0.25
