FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5
2,0,0,0,1.7269999999999999,3.4,4.0,1.72,3.35,4.4,1.7,3.3,4.0,1.7269999999999999,3.25,4.333,1.8,3.35,3.6,1.6,2.0
0,5,0,2,4.0,3.4,1.7269999999999999,4.1,3.4,1.75,3.7,3.2,1.8,4.0,3.4,1.75,3.6,3.35,1.8,1.55,2.1
5,0,3,0,1.364,4.0,7.0,1.35,4.3,7.3,1.4,3.9,6.0,1.3330000000000002,4.0,8.5,1.35,4.0,7.0,1.55,2.1
1,1,0,0,4.5,3.3,1.6669999999999998,4.5,3.5,1.66,3.7,3.2,1.8,4.333,3.3,1.7,4.2,3.4,1.65,1.45,2.3
5,1,5,0,2.3,3.2,2.625,2.3,3.5,2.7,2.2,3.2,2.7,2.25,3.25,2.7,2.25,3.25,2.6,,
0,0,0,0,2.2,3.25,2.75,2.3,3.2,2.75,2.2,3.2,2.7,2.3,3.25,2.625,2.35,3.2,2.5,,
3,1,1,1,1.571,3.5,5.0,1.46,3.75,6.5,1.45,3.8,5.4,1.5,3.6,5.5,1.55,3.5,4.8,,
0,0,0,0,2.375,3.25,2.5,2.5,3.15,2.55,2.4,3.2,2.4,2.375,3.25,2.5,2.3,3.2,2.6,,
0,0,0,0,4.333,3.4,1.6669999999999998,4.5,3.5,1.66,4.2,3.4,1.65,4.333,3.4,1.6669999999999998,4.3,3.35,1.65,,
3,0,1,0,1.3,4.333,8.0,1.31,4.5,8.33,1.35,4.0,7.0,1.3330000000000002,4.0,8.0,1.35,3.8,7.5,,
0,2,0,0,5.5,3.6,1.5,5.5,3.75,1.51,4.8,3.8,1.5,5.5,3.6,1.5,5.0,3.5,1.55,,
1,0,0,0,2.2,3.25,2.75,2.15,3.2,3.0,2.2,3.0,2.9,2.2,3.2,2.8,2.15,3.15,2.8,,
1,1,0,0,3.0,3.2,2.1,3.0,3.32,2.27,2.6,3.1,2.3,3.0,3.2,2.1,3.1,3.2,2.0,1.64,2.12
2,0,1,0,1.72,3.4,4.0,1.7,3.55,4.65,1.8,3.2,3.7,1.7269999999999999,3.4,4.0,1.8,3.3,3.6,1.6,2.0
1,1,0,0,2.3,3.2,2.62,2.2,3.35,3.0,2.2,3.1,2.8,2.4,3.25,2.5,2.35,3.2,2.5,1.7,1.9
0,0,0,0,1.36,4.0,7.0,1.38,4.12,7.55,1.4,3.9,6.0,1.364,3.75,8.0,1.3,4.2,8.0,1.65,1.95
3,1,0,0,1.3,4.33,8.0,1.33,4.4,8.0,1.35,4.0,7.0,1.286,4.5,8.0,1.25,4.3,10.0,1.55,2.1
1,3,1,2,2.0,3.2,3.2,1.95,3.25,3.4,2.0,3.2,3.1,1.909,3.3,3.4,2.0,3.2,3.1,1.65,1.95
2,0,0,0,1.2,5.0,11.0,1.23,5.55,10.0,1.2,5.0,10.0,1.2,5.5,9.0,1.2,5.0,10.0,1.57,2.15
1,2,0,2,2.0,3.2,3.2,1.97,3.25,3.4,1.9,3.2,3.4,1.909,3.25,3.4,1.85,3.3,3.4,1.65,1.95
0,1,0,0,2.0,3.2,3.2,2.02,3.3,3.2,2.0,3.2,3.1,2.0,3.2,3.2,1.95,3.2,3.2,1.65,1.95
2,0,0,0,1.66,3.4,4.33,1.76,3.6,4.35,1.8,3.3,3.6,1.6669999999999998,3.4,4.333,1.75,3.3,3.8,1.75,1.95
2,0,2,0,1.57,3.5,5.0,1.55,3.76,5.65,1.5,3.7,5.0,1.571,3.5,5.0,1.55,3.5,5.0,1.7,2.0
0,1,0,1,1.8330000000000002,3.4,3.5,1.83,3.35,3.88,1.8,3.2,3.7,1.8330000000000002,3.3,3.6,1.9,3.2,3.4,,
3,1,0,0,2.0,3.2,3.2,1.88,3.3,3.55,1.9,3.2,3.4,1.909,3.25,3.4,1.85,3.2,3.6,1.65,1.95
6,0,1,0,1.25,5.0,8.0,1.22,5.25,10.5,1.25,4.5,9.0,1.25,4.6,9.0,1.3,4.3,7.5,1.4,2.45
0,3,0,1,2.4,3.25,2.5,2.42,3.25,2.5,2.4,3.2,2.4,2.5,3.1,2.5,2.5,3.0,2.5,1.75,1.85
1,2,0,2,1.909,3.25,3.4,1.86,3.3,3.62,1.9,3.2,3.4,1.909,3.25,3.4,1.9,3.2,3.5,1.65,1.95
4,0,1,0,3.0,3.2,2.1,2.95,3.2,2.15,2.7,3.2,2.2,2.9,3.25,2.1,2.8,3.1,2.2,1.65,1.95
2,2,0,1,1.6669999999999998,3.3,4.5,1.62,3.4,4.8,1.6,3.4,4.6,1.6669999999999998,3.4,4.333,1.65,3.6,4.0,1.65,1.95
