FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5
1,1,0,0,1.5330000000000001,3.25,6.0,1.5,3.45,7.0,1.45,3.6,5.8,1.571,3.25,5.5,1.5330000000000001,3.3,6.5,1.53,3.25,6.0,1.85,1.75
1,0,1,0,2.625,3.1,2.375,2.7,3.1,2.5,2.6,2.8,2.6,2.625,2.875,2.5,2.7,3.0,2.5,2.5,2.9,2.62,2.05,1.6
2,1,0,0,2.875,3.0,2.25,2.8,3.15,2.35,2.6,2.8,2.6,2.75,3.0,2.375,3.0,3.0,2.25,2.8,2.9,2.37,1.75,1.85
2,2,1,0,2.2,3.0,3.0,2.2,3.1,3.1,2.2,2.8,3.1,2.2,3.0,3.0,2.25,3.0,3.1,2.1,3.0,3.2,2.05,1.6
1,0,1,0,1.7269999999999999,3.2,4.333,1.8,3.25,4.25,1.9,2.9,3.8,1.909,3.0,3.75,1.8330000000000002,3.1,4.0,1.83,3.0,4.0,1.97,1.65
0,0,0,0,2.2,3.0,3.0,2.2,3.05,3.15,2.2,2.8,3.1,2.2,3.0,3.0,2.25,3.0,3.1,2.1,3.1,3.1,2.05,1.6
1,0,1,0,1.5,3.4,6.0,1.63,3.5,5.5,1.6,3.4,4.6,1.571,3.25,5.5,1.5330000000000001,3.4,6.0,1.5,3.4,6.0,1.72,1.9
0,0,0,0,2.0,3.0,3.4,2.1,3.1,3.32,2.0,2.9,3.4,2.1,3.0,3.2,2.1,3.0,3.4,1.9,3.1,3.6,2.15,1.6
1,0,0,0,1.5330000000000001,3.4,5.5,1.61,3.45,6.0,1.45,3.8,5.4,1.5,3.4,6.0,1.5330000000000001,3.4,6.5,1.5,3.4,6.0,1.9,1.75
1,0,1,0,1.571,3.25,5.5,1.65,3.3,5.75,1.6,3.4,4.6,1.615,3.25,5.0,1.571,3.3,6.0,1.57,3.3,5.5,1.92,1.77
1,2,1,1,2.0,3.0,3.4,2.16,3.0,3.3,2.0,2.9,3.3,2.0,2.875,3.6,2.05,3.1,3.3,2.1,2.9,3.3,2.0,1.65
2,1,1,0,2.5,2.875,2.625,2.7,2.95,2.7,2.8,2.9,2.3,2.5,2.875,2.625,2.7,3.0,2.5,2.62,2.9,2.5,2.1,1.56
2,1,1,1,1.909,3.0,3.75,1.92,3.15,3.75,1.9,3.0,3.6,1.8,3.0,4.333,1.8330000000000002,3.2,4.0,1.83,3.2,3.75,2.0,1.86
2,0,0,0,2.375,2.875,2.8,2.35,3.1,3.0,2.2,2.9,3.0,2.375,2.875,2.8,2.3,3.0,3.0,2.4,2.8,2.87,2.0,1.6
2,2,0,1,2.375,3.0,2.7,2.4,3.0,2.85,2.3,2.8,2.9,2.375,2.8,2.875,2.5,3.0,2.7,2.4,2.87,2.8,2.0,1.6
1,1,1,1,1.909,3.0,3.75,1.9,3.0,4.1,2.1,2.9,3.2,1.909,3.0,3.75,1.909,3.0,4.0,1.9,3.0,3.75,2.0,1.72
0,0,0,0,2.1,3.0,3.2,2.15,3.1,3.55,2.0,2.9,3.4,2.0,3.0,3.4,2.1,3.0,3.4,1.9,3.0,3.75,1.95,1.65
1,0,0,0,1.4,3.6,7.5,1.6,3.55,6.0,1.5,3.5,5.4,,,,1.5,3.5,6.5,1.53,3.25,6.0,1.82,1.8
2,1,1,0,2.3,2.875,2.9,2.25,3.0,3.15,2.4,2.8,2.8,2.1,3.0,3.2,2.25,2.875,3.2,2.2,2.87,3.1,2.2,1.55
1,0,0,0,2.2,3.0,3.0,2.15,3.02,3.3,2.2,2.8,3.1,2.1,3.0,3.2,2.1,3.0,3.4,2.1,2.87,3.3,2.15,1.55
1,0,1,0,2.4,2.9,2.75,2.5,2.93,3.0,2.4,2.9,2.7,2.5,2.875,2.625,2.6,2.875,2.7,2.5,2.87,2.62,1.85,1.82
3,0,2,0,1.444,3.6,6.5,1.52,3.6,6.25,1.55,3.4,5.0,1.571,3.25,5.5,1.5330000000000001,3.3,6.5,1.57,3.25,5.5,1.8,1.8
2,2,0,1,2.375,3.0,2.7,2.35,3.0,2.9,2.2,2.8,3.1,2.2,3.0,3.0,2.4,3.0,2.8,2.3,2.9,2.9,1.95,1.65
1,1,1,0,2.3,3.0,2.8,2.3,3.0,3.0,2.2,2.8,3.1,2.1,3.0,3.2,2.375,2.875,3.0,2.3,2.9,2.9,1.95,1.65
1,1,1,0,1.8,3.1,4.0,1.95,3.1,3.75,1.9,2.9,3.8,1.8,3.2,4.0,1.909,3.0,4.0,1.9,3.0,3.75,1.95,1.65
