FTHG,FTAG,HTHG,HTAG,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA
2,1,2,1,1.9,3.25,3.5,2.0,3.0,2.9,1.85,3.4,3.4,1.85,3.35,3.35
1,1,1,0,2.05,3.25,3.1,1.9,3.0,3.1,2.1,3.2,2.9,2.15,3.25,2.75
6,2,3,1,1.33,3.9,6.8,1.4,3.6,5.5,1.36,4.0,7.0,1.3,4.2,8.5
1,0,0,0,2.1,2.8,3.4,2.2,2.9,2.7,2.0,3.25,3.1,2.05,3.25,2.9
0,0,0,0,1.5,3.6,5.0,1.55,3.3,4.5,1.53,3.4,5.25,1.5,3.65,5.0
0,0,0,0,2.0,3.15,3.3,2.0,2.9,3.0,1.95,3.2,3.2,1.9,3.1,3.5
0,4,0,0,1.95,3.25,3.4,1.8,3.0,3.5,1.8,3.4,3.5,1.85,3.35,3.35
2,1,1,1,2.5,3.3,2.4,2.35,3.0,2.35,2.4,3.3,2.4,2.45,3.3,2.35
0,1,0,0,1.6,3.5,4.8,1.7,3.1,3.8,1.62,3.4,4.5,1.6,3.45,4.5
3,1,1,0,1.9,3.2,3.5,1.9,2.9,3.2,1.85,3.3,3.5,1.9,3.2,3.5
5,0,3,0,1.95,3.2,3.35,1.9,3.0,3.1,1.85,3.25,3.5,1.8,3.35,3.5
0,0,0,0,1.4,4.1,6.4,1.35,3.8,6.2,1.4,3.8,6.25,1.4,3.85,6.0
1,1,1,1,4.6,3.4,1.66,4.0,3.3,1.6,4.5,3.25,1.67,4.0,3.6,1.65
0,2,0,1,2.05,3.1,3.3,2.1,3.0,2.8,2.0,3.1,3.3,1.9,3.3,3.25
2,4,1,3,6.3,4.0,1.4,6.2,3.8,1.35,6.75,3.75,1.4,6.0,3.55,1.45
0,1,0,1,1.95,3.2,3.35,1.9,3.0,3.1,1.95,3.2,3.3,1.85,3.35,3.4
1,2,0,0,2.2,3.25,2.8,2.1,3.0,2.8,2.1,3.25,2.88,2.1,3.25,2.85
3,2,1,0,1.47,3.7,5.7,1.4,3.6,5.5,1.44,3.75,6.0,1.5,3.5,5.5
1,1,0,0,3.0,3.5,2.0,3.1,3.0,1.9,3.0,3.3,2.0,3.25,3.3,1.9
3,1,1,0,1.4,4.0,6.5,1.35,3.8,6.2,1.4,4.0,6.0,1.35,4.2,6.2
5,1,4,0,1.4,3.7,7.3,1.4,3.6,5.5,1.36,4.0,6.75,1.3,4.5,7.5
0,5,0,3,4.5,3.4,1.65,3.6,3.2,1.7,4.0,3.4,1.7,3.7,3.35,1.75
0,3,0,2,2.45,3.0,2.65,2.2,3.0,2.6,2.4,3.2,2.5,2.5,3.2,2.35
1,0,0,0,4.8,3.8,1.55,4.5,3.3,1.55,5.0,3.5,1.53,4.8,3.5,1.55
0,2,0,1,1.9,3.2,3.6,2.2,2.9,2.7,1.9,3.2,3.4,1.9,3.3,3.2
0,3,0,1,2.7,3.3,2.2,2.8,3.0,2.1,2.5,3.2,2.38,2.6,3.25,2.25
2,0,0,0,1.55,3.5,5.2,1.55,3.3,4.5,1.57,3.4,5.0,1.5,3.6,5.0
2,0,0,0,1.6,3.2,5.5,1.6,3.3,4.0,1.53,3.4,5.25,1.65,3.35,4.25
2,1,1,0,1.85,3.15,3.3,1.85,3.0,3.3,1.8,3.25,3.75,1.85,3.25,3.45
2,0,1,0,1.91,3.0,4.0,2.1,2.9,2.9,2.1,3.1,3.0,1.9,3.15,3.4
2,1,1,1,2.25,3.4,2.6,2.3,2.9,2.5,2.15,3.2,2.8,1.95,3.3,3.1
1,1,1,0,1.1,8.0,15.0,1.15,5.5,11.0,1.13,6.0,12.0,1.1,6.8,12.0
2,2,0,0,3.1,3.5,1.9,3.3,3.0,1.85,3.25,3.1,2.0,3.1,3.3,1.95
6,0,3,0,1.17,5.5,11.0,1.15,5.5,11.0,1.17,5.25,11.0,1.15,5.5,12.0
2,0,0,0,1.2,5.2,10.0,1.25,4.3,8.0,1.22,5.0,8.5,1.25,4.5,9.0
1,0,1,0,3.4,3.35,1.85,3.2,3.1,1.85,3.6,3.25,1.83,3.3,3.4,1.85
1,0,0,0,3.35,3.4,1.85,3.1,3.0,1.9,3.75,3.2,1.8,3.3,3.4,1.85
2,3,0,1,1.4,3.8,6.3,1.4,3.6,5.5,1.4,3.6,7.0,1.4,3.6,7.0
3,0,2,0,1.2,5.0,9.4,1.2,4.7,9.0,1.2,5.0,10.0,1.2,5.0,9.5
2,4,1,3,1.37,3.9,6.75,1.3,4.0,7.0,1.36,3.9,7.0,1.4,3.6,7.0
4,1,1,1,1.4,3.85,6.1,1.4,3.6,5.5,1.44,3.75,5.75,1.5,3.7,5.0
1,3,1,2,4.1,3.4,1.67,3.8,3.2,1.65,3.8,3.4,1.73,3.7,3.4,1.75
0,3,0,1,2.75,3.1,2.25,2.9,3.0,2.0,2.75,3.2,2.2,2.6,3.3,2.25
3,1,2,0,2.1,3.2,2.9,2.1,3.0,2.8,2.2,3.25,2.7,2.2,3.4,2.6
0,3,0,1,3.65,3.2,1.8,3.9,3.2,1.65,3.6,3.25,1.83,3.4,3.5,1.8
0,0,0,0,2.15,3.0,2.95,2.1,3.0,2.8,2.2,3.2,2.75,,,
0,1,0,1,5.7,3.6,1.45,5.5,3.6,1.4,5.5,3.8,1.44,5.5,3.75,1.45
2,2,1,1,1.51,3.4,5.4,1.35,3.8,6.2,1.5,3.6,5.25,1.5,3.75,5.0
2,1,1,0,1.9,3.2,3.4,1.85,3.0,3.3,1.9,3.4,3.25,1.85,3.5,3.2
3,0,2,0,1.2,4.9,10.0,1.2,4.7,9.0,1.22,5.0,9.0,1.2,5.2,9.0
1,1,0,1,1.35,4.1,6.5,1.4,3.6,5.5,1.4,4.0,6.0,1.4,4.0,5.8
1,0,0,0,1.17,5.3,10.5,1.15,5.5,11.0,1.2,5.0,10.0,1.2,5.3,8.5
3,0,1,0,2.4,3.0,2.6,2.35,3.0,2.35,2.4,3.3,2.4,2.35,3.3,2.45
2,1,2,0,1.3,4.4,7.2,1.25,4.3,8.0,1.36,4.0,6.75,1.35,4.2,6.3
1,1,0,0,1.95,3.2,3.25,1.9,2.9,3.2,1.8,3.4,3.6,1.7,3.25,4.0
0,3,0,2,4.35,3.4,1.64,4.5,3.3,1.55,4.33,3.5,1.62,3.9,3.6,1.65
0,0,0,0,2.17,3.0,2.95,2.2,2.9,2.7,2.25,3.5,2.5,2.25,3.4,2.5
2,3,2,1,2.62,3.1,2.35,2.7,2.9,2.2,2.5,3.25,2.38,2.5,3.3,2.3
2,0,0,0,2.15,2.95,3.05,2.3,2.9,2.5,2.1,3.25,2.88,2.1,3.4,2.75
1,2,0,0,4.15,3.3,1.7,4.0,3.3,1.6,4.33,3.5,1.62,,,
2,2,0,0,2.7,3.0,2.32,2.4,3.0,2.3,2.6,3.4,2.2,2.55,3.4,2.2
3,1,1,1,1.53,3.4,5.4,1.5,3.4,4.7,1.53,3.6,5.0,1.5,3.7,5.0
0,0,0,0,2.0,3.2,3.1,2.1,3.0,2.8,1.95,3.4,3.1,1.95,3.45,3.0
0,3,0,2,1.48,3.6,5.7,1.55,3.3,4.5,1.57,3.5,4.75,1.6,3.5,4.4
1,6,1,3,1.72,3.4,3.9,1.65,3.2,3.9,1.7,3.4,4.0,1.65,3.5,4.0
2,4,0,3,2.45,3.0,2.55,2.3,3.0,2.4,2.3,3.5,2.4,2.3,3.4,2.45
1,0,1,0,1.42,3.6,6.7,1.4,3.6,5.5,1.4,3.75,6.5,1.4,4.0,5.8
2,1,1,0,2.48,2.9,2.57,2.35,3.0,2.35,2.3,3.4,2.5,2.3,3.4,2.45
2,0,2,0,1.35,4.0,7.2,1.35,3.8,6.2,1.4,3.75,6.75,1.4,4.0,5.8
1,2,0,1,2.2,3.0,2.75,2.2,2.9,2.7,2.2,3.25,2.75,2.2,3.25,2.75
0,0,0,0,2.12,3.2,2.85,1.9,3.0,3.1,1.91,3.4,3.2,1.9,3.4,3.15
0,0,0,0,1.75,3.3,4.1,1.6,3.2,4.2,1.67,3.4,4.2,1.6,3.5,4.4
0,0,0,0,1.7,3.4,4.2,1.7,3.1,3.8,1.62,3.5,4.33,1.6,3.55,4.3
0,0,0,0,1.35,4.1,7.2,1.25,4.3,8.0,1.36,3.8,7.0,1.3,4.25,7.5
6,0,3,0,1.47,3.7,5.8,1.45,3.5,5.0,1.4,3.75,6.5,1.4,4.0,5.8
1,1,0,1,1.95,3.2,3.4,1.8,3.0,3.5,1.9,3.4,3.2,1.85,3.4,3.3
1,3,1,1,5.75,3.8,1.45,6.2,3.8,1.35,5.5,3.8,1.44,5.0,4.0,1.45
5,1,2,1,2.55,3.0,2.5,2.7,2.9,2.2,2.38,3.25,2.5,2.2,3.3,2.65
1,0,1,0,1.42,3.9,6.2,1.45,3.5,5.0,1.4,3.75,6.5,1.4,4.0,5.8
0,0,0,0,2.65,3.1,2.35,2.35,3.0,2.35,2.6,3.25,2.25,2.62,3.4,2.2
0,1,0,0,2.55,3.1,2.45,2.5,2.9,2.3,2.5,3.2,2.38,2.4,3.4,2.35
1,0,0,0,1.6,3.5,4.75,1.5,3.4,4.7,1.62,3.4,4.5,1.6,3.5,4.4
1,3,0,0,2.32,3.1,2.7,2.0,2.9,3.0,2.38,3.2,2.5,2.3,3.3,2.5
2,1,0,0,1.85,3.2,3.7,1.65,3.2,3.8,1.91,3.4,3.2,1.9,3.4,3.15
1,1,1,0,1.85,3.0,4.0,1.65,3.2,3.8,1.75,3.5,3.6,1.7,3.5,3.8
3,3,2,3,3.85,3.2,1.8,3.6,3.1,1.75,3.75,3.5,1.73,3.55,3.5,1.75
0,0,0,0,2.28,3.1,2.8,2.35,3.0,2.35,2.1,3.4,2.75,2.05,3.4,2.8
3,1,2,0,3.15,3.05,2.1,3.0,2.9,2.0,3.4,3.4,1.83,2.87,3.3,2.1
0,3,0,1,3.6,3.3,1.85,3.5,3.0,1.8,3.4,3.3,1.85,3.45,3.4,1.8
0,2,0,1,1.58,3.55,4.8,1.65,3.2,3.9,1.57,3.5,4.75,1.55,3.65,4.5
2,2,1,1,2.15,3.15,2.95,2.3,2.9,2.5,2.2,3.1,2.8,2.1,3.25,2.8
3,1,2,0,1.32,4.2,7.0,1.35,3.8,6.2,1.33,4.0,7.5,1.3,4.5,6.8
9,0,5,0,1.27,4.65,8.3,1.2,4.7,9.0,1.29,4.5,7.5,1.35,4.2,6.3
5,1,2,1,1.3,4.5,7.5,1.25,4.3,8.0,1.3,4.33,7.25,1.3,4.3,7.25
1,0,1,0,1.92,3.15,3.5,1.9,2.9,3.2,1.91,3.4,3.2,2.05,3.15,3.0
5,1,3,0,1.28,4.6,8.0,1.2,4.7,9.0,1.25,4.75,8.0,1.3,4.5,6.8
3,2,1,1,1.95,3.15,3.4,2.0,2.9,3.0,1.85,3.4,3.3,1.9,3.35,3.2
0,1,0,0,1.65,3.45,4.4,1.65,3.2,3.9,1.67,3.4,4.2,1.65,3.55,4.0
2,0,1,0,1.4,4.0,6.5,1.25,4.3,8.0,1.33,4.0,7.5,1.35,3.9,7.0
1,0,0,0,1.7,3.3,4.3,1.65,3.2,3.9,1.67,3.4,4.2,1.75,3.4,3.7
2,1,0,0,1.25,4.75,8.8,1.2,4.7,9.0,1.25,4.75,8.0,1.2,5.3,8.5
1,1,0,0,2.2,3.1,2.9,2.1,2.9,2.9,2.1,3.3,2.8,2.15,3.3,2.7
0,1,0,0,2.5,3.2,2.4,2.9,2.9,2.1,2.4,3.3,2.4,2.4,3.25,2.4
1,0,0,0,3.55,3.3,1.85,3.3,3.0,1.85,3.75,3.4,1.75,3.6,3.3,1.8
2,0,1,0,3.05,3.2,2.1,2.7,2.9,2.2,3.0,3.1,2.1,2.65,3.25,2.2
0,1,0,1,2.4,3.25,2.5,2.3,3.0,2.4,2.1,3.4,2.75,2.1,3.3,2.8
1,0,1,0,1.67,3.4,4.5,1.6,3.2,4.2,1.6,3.5,4.5,1.65,3.5,4.0
2,2,0,2,1.7,3.35,4.4,1.55,3.3,4.5,1.62,3.5,4.33,1.65,3.5,4.1
