FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH
3,0,1,0,2.25,3.25,2.87,2.27,3.33,2.85,2.0,3.1,3.2,2.1,3.2,3.0,2.2,3.2,2.88,2.2,3.2,2.87,2.1,3.2,3.0,1.85,1.85,1.9,1.9,2.0,1.8,-0.25,2.0,1.85,-0.25,2.05,1.85,-0.25
1,0,0,0,3.25,3.5,2.0,3.5,3.25,2.0,3.2,3.1,2.0,3.75,3.25,1.8,3.5,3.25,1.91,3.25,3.25,2.0,3.6,3.3,1.83,1.75,1.95,1.8,2.0,1.8,2.0,0.5,1.9,1.95,0.5,1.85,2.05,0.5
1,1,0,0,1.8,3.4,4.0,1.8,3.4,4.1,1.75,3.2,4.0,1.7269999999999999,3.2,4.333,1.73,3.6,4.5,1.72,3.25,4.33,1.72,3.2,4.33,1.95,1.75,2.05,1.75,1.8,2.0,-0.5,1.8,2.05,-0.5,1.9,2.0,-0.5
1,2,0,1,4.33,3.5,1.72,4.25,3.33,1.8,4.0,3.2,1.75,4.5,3.25,1.6669999999999998,4.75,3.4,1.73,4.2,3.4,1.72,4.5,3.3,1.66,1.75,1.95,1.9,1.9,2.0,1.8,0.5,2.05,1.8,0.5,1.8,2.1,0.75
0,0,0,0,4.33,3.5,1.72,4.2,3.4,1.8,3.8,3.1,1.8,4.0,3.4,1.7269999999999999,4.0,3.25,1.8,4.0,3.25,1.8,4.2,3.25,1.72,1.81,1.92,1.95,1.85,2.0,1.82,0.5,2.1,1.75,0.5,2.05,1.85,0.5
2,1,1,1,2.2,3.2,3.0,2.15,3.25,3.1,2.1,3.0,3.1,2.0,3.4,3.0,2.2,3.25,2.8,2.2,3.2,2.87,2.2,3.2,2.8,1.85,1.85,1.8,2.0,1.9,1.93,-0.25,1.9,1.95,-0.25,2.025,1.875,-0.25
0,0,0,0,1.57,3.6,5.5,1.6,3.4,5.55,1.6,3.4,4.6,1.571,3.5,5.0,1.57,3.4,5.5,1.57,3.4,5.5,1.57,3.3,5.5,1.85,1.85,1.8,2.0,1.8,2.0,-0.75,1.8,2.05,-0.75,1.85,2.05,-0.75
0,1,0,0,5.0,3.6,1.61,4.75,3.5,1.66,4.4,3.3,1.65,4.5,3.25,1.6669999999999998,5.5,3.5,1.53,5.0,3.4,1.61,5.5,3.3,1.57,1.71,2.0,1.8,2.0,2.03,1.8,0.75,2.1,1.75,0.75,2.1,1.8,0.75
6,2,1,1,1.66,3.4,5.0,1.65,3.4,4.95,1.8,3.1,3.8,1.6669999999999998,3.25,4.5,1.7,3.25,4.5,1.7,3.25,4.5,1.66,3.3,4.5,1.75,1.95,1.85,1.95,1.9,1.9,-0.75,1.95,1.9,-0.75,1.9,2.0,-0.75
0,1,0,1,2.5,3.3,2.5,2.55,3.25,2.55,2.4,3.2,2.4,2.5,3.25,2.4,2.5,3.2,2.5,2.5,3.2,2.5,2.6,3.1,2.4,1.85,1.85,1.95,1.85,2.0,1.8,0.0,1.95,1.9,0.0,1.95,1.95,0.0
