FTHG,FTAG,HTHG,HTAG,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
4,1,1,0,,,,1.9,2.9,3.2,1.73,3.5,3.75,1.9,3.25,3.5,1.8,3.25,4.0,1.9,3.1,3.6
2,1,0,1,,,,1.7,3.1,3.8,1.73,3.4,4.0,1.73,3.2,4.33,1.73,3.4,4.0,1.72,3.2,4.33
2,2,0,0,,,,1.6,3.2,4.2,1.5,3.4,6.0,,,,1.57,3.25,5.5,1.5,3.6,5.5
2,1,1,0,,,,1.8,3.0,3.5,1.67,3.4,4.33,1.75,3.25,4.2,1.73,3.4,4.0,1.66,3.3,4.5
2,2,1,1,,,,2.2,2.9,2.7,,,,2.3,3.1,2.75,2.25,3.1,2.8,2.25,3.2,2.75
3,0,1,0,,,,1.6,3.2,4.2,,,,1.57,3.4,5.0,1.67,3.25,4.5,1.66,3.4,4.33
0,0,0,0,,,,2.2,2.9,2.7,,,,2.2,3.2,2.88,2.2,3.1,2.88,2.1,3.2,3.0
2,0,2,0,,,,1.45,3.5,5.0,,,,1.44,3.6,6.5,1.4,4.0,6.5,1.44,3.6,6.5
1,2,0,2,,,,3.2,2.9,1.9,,,,3.75,3.25,1.83,3.75,3.25,1.8,3.25,3.4,1.9
1,0,0,0,,,,1.8,3.0,3.5,1.8,3.25,3.75,1.91,3.25,3.4,1.8,3.25,3.75,1.72,3.25,4.2
2,0,1,0,,,,2.8,3.0,2.1,,,,3.0,3.2,2.1,3.0,3.2,2.1,3.0,3.2,2.1
4,0,2,0,,,,1.45,3.5,5.0,1.36,4.0,7.0,1.36,3.75,8.0,1.4,3.75,7.0,1.36,3.75,8.0
4,1,3,1,,,,1.45,3.5,5.0,1.4,3.75,7.0,1.4,3.75,7.5,1.4,4.0,6.5,1.44,3.6,6.5
2,3,1,2,,,,3.3,3.0,2.0,3.5,3.2,1.91,,,,3.2,3.2,2.0,3.4,3.25,1.9
2,2,1,1,,,,1.6,3.4,4.6,1.57,3.5,5.0,,,,1.57,3.5,5.0,1.57,3.3,5.5
4,0,2,0,,,,2.1,3.0,3.1,2.37,3.2,2.6,,,,2.38,3.2,2.6,2.37,3.1,2.62
3,1,0,1,,,,1.4,3.9,6.0,1.44,3.6,6.5,,,,1.36,4.0,7.0,1.4,3.75,7.0
1,2,0,2,,,,2.7,2.9,2.4,2.75,3.2,2.25,,,,2.75,3.0,2.38,2.75,3.2,2.25
1,5,1,2,,,,4.0,3.1,1.75,4.33,3.4,1.67,,,,4.5,3.5,1.62,4.5,3.3,1.66
3,0,1,0,,,,2.4,2.9,2.7,2.25,3.2,2.75,,,,2.38,3.2,2.6,2.4,3.1,2.6
0,4,0,2,,,,2.0,3.1,3.2,1.73,3.4,4.0,,,,1.91,3.2,3.5,1.83,3.3,3.6
3,0,1,0,,,,1.6,3.4,4.6,1.57,3.5,5.0,,,,1.62,3.5,4.5,1.57,3.5,5.0
4,1,3,0,1.55,3.55,5.25,1.55,3.5,4.8,1.57,3.5,5.0,,,,1.62,3.5,4.5,1.57,3.5,5.0
3,0,0,0,2.15,3.0,3.15,2.0,3.1,3.2,2.1,3.2,3.0,,,,2.1,3.2,3.0,2.0,3.2,3.2
3,1,2,1,1.85,3.2,3.85,1.9,3.1,3.5,1.8,3.25,3.75,,,,1.91,3.2,3.5,1.9,3.25,3.4
4,1,1,1,1.5,3.6,5.8,1.55,3.5,4.8,1.4,3.75,7.0,,,,1.5,3.6,5.5,1.53,3.4,5.5
1,2,0,1,2.15,3.0,3.15,2.1,3.0,3.1,2.25,3.4,2.62,,,,2.1,3.2,3.0,2.1,3.2,3.0
1,0,1,0,1.55,3.55,5.25,1.55,3.5,4.8,1.5,3.6,5.5,,,,1.62,3.25,5.0,1.57,3.5,5.0
4,0,1,0,2.15,3.1,3.05,2.3,2.8,2.9,2.25,3.4,2.62,,,,2.2,3.2,2.8,2.25,3.2,2.75
0,2,0,1,1.4,4.0,6.7,1.4,3.9,6.0,1.33,4.0,8.0,,,,1.36,4.0,7.0,1.36,3.75,8.0
0,1,0,0,2.1,3.2,3.1,2.1,3.0,3.1,1.91,3.25,3.4,,,,2.0,3.2,3.2,2.1,3.2,3.0
0,2,0,0,3.35,3.15,2.0,3.2,3.1,2.0,3.5,3.2,1.91,3.2,3.25,2.0,3.5,3.2,1.91,3.4,3.25,1.9
0,2,0,1,4.05,3.3,1.76,3.6,3.2,1.8,4.33,3.4,1.67,4.75,3.25,1.67,4.0,3.4,1.73,4.33,3.4,1.66
0,0,0,0,1.83,3.25,3.8,2.0,3.1,3.2,1.73,3.4,4.0,1.75,3.25,4.0,1.83,3.2,3.75,1.8,3.3,3.75
2,2,1,1,1.98,3.15,3.4,2.1,3.0,3.1,2.0,3.4,3.0,2.0,3.25,3.25,2.0,3.2,3.2,2.0,3.2,3.2
1,4,1,1,3.0,3.1,2.15,3.2,3.1,2.0,3.2,3.2,2.0,3.3,3.2,1.95,3.2,3.2,2.0,3.2,3.2,2.0
2,0,1,0,1.55,3.45,5.5,1.55,3.5,4.8,1.5,3.4,6.0,1.5,3.5,6.0,1.5,3.6,5.5,1.57,3.5,5.0
1,0,0,0,1.73,3.3,4.25,1.8,3.1,3.8,1.67,3.4,4.33,1.7,3.25,4.33,1.8,3.25,3.75,1.66,3.4,4.33
0,1,0,1,1.57,3.5,5.0,1.6,3.4,4.6,1.57,3.5,5.0,1.62,3.4,4.75,1.67,3.4,4.33,1.57,3.5,5.0
1,3,0,1,2.58,3.05,2.5,2.7,3.0,2.3,2.6,3.2,2.37,2.6,3.2,2.4,2.6,3.2,2.38,2.5,3.3,2.37
3,0,0,0,1.27,4.8,8.25,1.35,4.0,7.0,1.28,4.33,9.0,1.29,4.5,9.0,1.3,4.33,8.0,1.25,5.0,8.0
1,0,0,0,1.52,3.6,5.6,1.6,3.4,4.6,1.5,3.6,5.5,1.57,3.4,5.5,1.57,3.25,5.5,1.5,3.6,5.5
0,1,0,0,2.35,3.05,2.75,2.2,3.0,2.9,2.25,3.4,2.62,2.25,3.2,2.8,2.25,3.2,2.75,2.3,3.1,2.75
2,1,1,1,1.65,3.3,4.7,1.6,3.4,4.6,1.5,3.4,6.0,1.5,3.5,6.0,1.67,3.25,4.5,1.53,3.6,5.0
3,1,1,1,1.45,3.75,6.25,1.55,3.5,4.8,1.44,3.6,6.5,1.4,4.0,7.0,1.44,3.75,6.0,1.4,3.75,7.0
0,3,0,1,2.3,3.1,2.8,2.3,2.9,2.8,2.25,3.2,2.75,2.3,3.1,2.8,2.25,3.2,2.75,2.3,3.25,2.62
