FTHG,FTAG,HTHG,HTAG,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
5,0,2,0,1.2,5.3,10.0,1.2,4.7,9.0,1.25,4.5,10.0,1.22,4.8,11.0,1.2,5.0,11.0
1,0,0,0,1.8,3.2,3.9,1.65,3.2,3.8,1.55,3.5,5.0,1.57,3.4,5.5,1.61,3.25,5.0
1,0,0,0,2.5,3.05,2.6,2.2,2.9,2.7,2.35,3.2,2.6,2.3,3.2,2.75,2.3,3.25,2.62
1,1,1,0,3.1,3.15,2.1,3.0,2.9,2.0,3.5,3.5,1.8,3.4,3.25,1.95,3.75,3.3,1.8
3,1,1,1,1.75,3.3,4.1,1.8,3.0,3.5,1.6,3.25,5.0,1.62,3.2,5.5,1.72,3.1,4.5
2,0,2,0,1.7,3.25,4.5,1.6,3.2,4.2,1.7,3.4,4.0,1.67,3.4,4.5,1.72,3.4,4.0
1,2,0,2,4.55,3.35,1.66,4.0,3.3,1.6,6.0,3.4,1.5,6.0,3.4,1.53,5.5,3.25,1.57
4,3,1,2,2.3,3.0,2.85,2.2,2.9,2.7,2.37,3.2,2.6,2.38,3.2,2.63,2.5,3.1,2.5
0,1,0,0,2.3,3.1,2.75,2.2,2.9,2.7,2.35,3.2,2.6,2.2,3.2,2.88,2.25,3.1,2.8
0,1,0,1,3.55,3.2,1.9,3.5,3.0,1.8,5.0,3.5,1.57,5.0,3.4,1.62,4.5,3.3,1.66
2,1,1,1,1.75,3.2,4.35,1.75,3.1,3.6,1.65,3.25,4.5,1.6,3.5,4.75,1.72,3.4,4.0
3,2,2,0,3.4,3.1,2.0,3.3,3.0,1.85,3.75,3.25,1.8,3.8,3.3,1.8,3.75,3.3,1.8
2,1,1,0,1.85,3.25,3.6,2.0,2.9,3.0,2.1,3.2,3.0,2.0,3.2,3.3,1.9,3.25,3.4
0,1,0,0,2.3,3.0,2.9,2.3,2.9,2.5,2.35,3.2,2.6,2.4,3.2,2.63,2.37,3.1,2.62
0,0,0,0,2.6,3.15,2.4,2.7,2.9,2.2,2.75,3.2,2.25,2.75,3.1,2.8,2.62,3.1,2.37
0,0,0,0,1.2,5.5,10.0,1.2,4.7,9.0,1.17,5.5,12.0,1.18,5.5,11.0,1.16,5.5,12.0
2,0,1,0,1.8,3.15,3.9,1.7,3.1,3.8,1.6,3.5,4.5,1.7,3.25,4.5,1.8,3.1,4.0
0,1,0,0,2.55,3.15,2.45,2.3,2.9,2.5,2.6,3.2,2.35,2.5,3.1,2.5,2.5,3.1,2.5
2,0,0,0,1.9,3.15,3.6,1.9,2.9,3.2,1.9,3.25,3.4,1.9,3.25,3.6,1.83,3.2,3.75
1,1,0,0,2.15,3.05,3.1,2.2,2.9,2.7,2.1,3.2,3.0,2.2,3.2,2.88,2.2,3.2,2.8
2,1,0,1,1.21,5.15,10.0,1.25,4.3,8.0,1.2,5.0,11.0,1.18,5.5,11.0,1.16,5.5,12.0
2,2,1,1,1.66,3.3,4.7,1.6,3.2,4.2,1.55,3.5,5.0,1.6,3.3,5.25,1.66,3.3,4.5
4,1,0,1,1.8,3.2,3.9,1.7,3.1,3.8,1.73,3.4,4.0,1.62,3.3,4.5,1.72,3.2,4.33
1,1,0,0,1.85,3.25,3.55,1.75,3.1,3.6,1.8,3.25,4.0,1.8,3.25,4.0,1.8,3.3,3.75
4,1,1,0,1.3,4.5,8.0,1.25,4.3,8.0,1.3,4.0,8.0,1.29,4.33,9.0,1.33,4.0,8.0
2,0,1,0,3.2,3.1,2.05,2.9,2.9,2.1,2.75,3.25,2.2,3.3,3.2,2.0,3.4,3.25,1.9
2,0,0,0,1.85,3.25,3.55,1.85,2.9,3.4,1.7,3.4,4.0,1.75,3.4,4.0,1.72,3.4,4.0
2,0,0,0,3.7,3.2,1.85,3.3,2.8,1.9,4.3,3.2,1.7,4.0,3.25,1.8,4.0,3.4,1.72
0,1,0,1,1.6,3.4,5.0,1.7,3.1,3.8,1.5,3.4,6.0,1.53,3.5,5.5,1.57,3.5,5.0
0,1,0,1,5.2,3.35,1.6,4.2,3.2,1.6,4.5,3.25,1.65,5.5,3.4,1.57,6.0,3.4,1.5
0,3,0,2,2.55,3.1,2.45,2.2,2.9,2.7,2.35,3.2,2.6,2.4,3.2,2.6,2.37,3.1,2.62
1,2,1,0,1.85,3.25,3.65,1.85,3.0,3.3,1.85,3.2,3.75,1.73,3.25,4.33,1.72,3.2,4.33
2,0,2,0,2.65,3.05,2.4,2.4,2.9,2.4,2.6,3.2,2.35,2.7,3.1,2.38,2.62,3.1,2.37
2,1,2,1,2.65,3.25,2.3,2.35,3.0,2.35,2.75,3.2,2.25,2.75,3.25,2.25,2.75,3.2,2.25
0,1,0,0,2.4,2.95,2.75,2.2,2.9,2.7,2.4,3.25,2.5,2.4,3.2,2.6,2.5,3.1,2.5
0,1,0,0,2.1,3.2,3.0,1.85,3.0,3.3,2.2,3.25,2.75,2.1,3.2,3.1,2.1,3.2,3.0
1,1,0,1,2.75,3.15,2.3,2.5,2.9,2.3,2.75,3.25,2.2,2.75,3.2,2.3,2.75,3.1,2.3
0,3,0,0,6.0,3.6,1.45,4.0,3.1,1.65,6.0,3.75,1.44,6.0,3.6,1.5,6.5,3.6,1.44
2,1,0,1,2.55,3.1,2.5,2.4,2.9,2.4,2.5,3.25,2.4,2.63,3.2,2.38,2.5,3.25,2.4
2,3,0,2,2.25,3.15,2.8,2.1,3.0,2.8,2.37,3.2,2.6,2.3,3.2,2.7,2.37,3.1,2.62
2,2,0,2,1.65,3.5,4.3,1.75,3.1,3.6,1.73,3.2,4.33,1.62,3.4,4.5,1.61,3.5,4.5
2,3,1,2,2.3,3.2,2.7,2.4,2.9,2.4,2.4,3.25,2.5,2.25,3.2,2.8,2.25,3.2,2.75
3,0,2,0,1.95,3.35,3.2,2.0,2.9,3.0,2.2,3.25,2.75,2.1,3.2,3.1,1.9,3.4,3.25
1,0,0,0,2.5,3.2,2.5,2.4,2.9,2.4,2.5,3.25,2.4,2.6,3.2,2.4,2.62,3.25,2.3
2,1,1,0,2.6,3.15,2.4,2.3,2.9,2.5,2.37,3.2,2.6,2.4,3.2,2.6,2.5,3.1,2.5
1,0,0,0,1.25,5.0,8.5,1.35,3.8,6.2,,,,1.25,4.75,9.0,1.28,4.5,8.0
1,1,1,0,2.0,3.15,3.3,2.0,2.9,3.0,,,,2.0,3.25,3.25,1.9,3.25,3.4
2,1,0,0,2.3,3.15,2.75,2.2,2.9,2.7,,,,2.3,3.2,2.7,2.25,3.2,2.75
0,1,0,1,1.57,3.5,5.0,1.6,3.2,4.2,,,,1.57,3.4,5.5,1.53,3.4,5.5
3,1,3,0,2.35,3.15,2.65,2.2,2.9,2.7,,,,2.5,3.1,2.6,2.5,3.1,2.5
3,0,1,0,1.33,4.3,7.5,1.4,3.6,5.5,,,,1.36,4.0,7.5,1.36,3.75,8.0
2,0,1,0,1.3,4.3,8.0,1.35,3.8,6.2,,,,1.29,4.5,8.5,1.3,4.0,9.5
1,0,1,0,1.6,3.4,5.0,1.7,3.1,3.8,,,,1.57,3.4,5.5,1.57,3.5,5.0
2,1,2,0,1.43,3.6,7.0,1.45,3.5,5.0,1.44,3.6,6.5,1.44,3.6,7.0,1.44,3.5,7.0
2,0,1,0,1.8,3.25,3.9,1.8,3.0,3.5,1.8,3.25,3.75,1.83,3.25,3.75,1.75,3.2,4.2
5,0,2,0,1.45,3.5,6.5,1.5,3.4,4.7,1.44,3.6,6.5,1.44,3.6,7.0,1.44,3.6,6.5
3,3,1,2,2.75,3.15,2.3,2.35,3.0,2.35,2.75,3.2,2.25,2.63,3.3,2.3,2.62,3.3,2.25
3,3,1,2,5.5,3.4,1.57,3.8,3.2,1.65,5.0,3.5,1.57,5.5,3.5,1.53,6.0,3.4,1.5
4,1,3,0,1.43,3.7,6.5,1.4,3.6,5.5,1.44,3.6,6.5,1.44,3.6,7.0,1.4,3.6,7.5
5,0,3,0,2.4,3.1,2.65,2.3,3.0,2.4,2.37,3.2,2.6,2.38,3.2,2.63,2.37,3.3,2.5
1,0,1,0,2.6,3.0,2.5,2.35,3.0,2.35,2.75,3.2,2.25,2.63,3.3,2.3,2.5,3.3,2.37
1,0,0,0,1.65,3.4,4.5,1.75,3.1,3.6,1.61,3.25,5.0,1.62,3.4,5.0,1.66,3.3,4.5
1,1,1,1,2.1,3.1,3.2,2.0,2.9,3.0,2.0,3.2,3.2,2.1,3.2,3.1,2.1,3.2,3.0
1,0,1,0,2.75,3.15,2.3,2.7,2.9,2.2,2.8,3.4,2.1,2.75,3.25,2.25,2.75,3.2,2.25
0,1,0,1,1.45,3.6,6.5,1.5,3.4,4.7,1.5,3.4,6.0,1.44,3.6,7.0,1.44,3.6,6.5
2,2,0,0,1.6,3.2,5.5,1.5,3.4,4.7,1.61,3.25,5.0,1.67,3.0,5.25,1.57,3.25,5.5
1,0,1,0,2.0,3.1,3.4,1.9,2.9,3.2,1.91,3.25,3.4,2.1,3.1,3.2,2.0,3.2,3.2
1,1,0,0,2.2,2.9,3.1,2.3,2.9,2.5,2.2,3.25,2.75,2.25,3.2,2.7,2.25,3.2,2.75
3,1,0,1,1.7,3.2,4.6,1.75,3.1,3.6,1.67,3.25,4.5,1.7,3.25,4.5,1.66,3.3,4.5
2,0,1,0,1.65,3.2,4.5,1.7,3.1,3.8,1.73,3.2,4.33,1.57,3.25,5.2,1.66,3.3,4.5
3,1,1,1,1.6,3.4,5.0,1.7,3.1,3.6,1.67,3.4,4.33,1.62,3.25,5.0,1.66,3.3,4.5
1,0,0,0,2.9,3.1,2.2,2.7,2.9,2.2,2.75,3.2,2.25,3.0,3.2,2.1,3.1,3.1,2.1
2,1,1,0,1.45,3.6,6.8,1.4,3.6,5.5,1.5,3.4,6.0,1.5,3.5,6.0,1.5,3.6,5.5
0,1,0,1,1.6,3.3,5.2,1.5,3.4,4.7,1.5,3.4,6.0,1.62,3.4,5.0,1.5,3.4,6.0
1,1,1,0,2.75,3.2,2.25,2.35,3.0,2.35,2.8,3.2,2.2,2.7,3.2,2.3,2.8,3.2,2.2
1,1,1,0,2.1,3.2,2.9,2.1,2.9,2.9,2.25,3.2,2.75,2.15,3.2,3.0,2.2,3.2,2.8
1,0,1,0,1.9,3.2,3.4,1.9,3.0,3.1,2.0,3.2,3.2,2.0,3.2,3.3,2.0,3.2,3.2
3,0,1,0,1.33,3.8,8.5,1.35,3.8,6.2,1.33,4.0,8.0,1.3,4.2,9.0,1.33,4.0,8.0
2,0,1,0,2.6,3.0,2.4,2.4,2.9,2.4,2.4,3.25,2.5,2.5,3.2,2.5,2.5,3.25,2.4
1,2,0,1,1.67,3.2,4.5,1.85,3.0,3.3,1.61,3.5,4.5,1.62,3.4,5.0,1.66,3.3,4.5
2,1,1,1,1.95,3.1,3.4,2.1,2.9,2.9,2.2,3.25,2.75,2.05,3.2,3.2,2.1,3.2,3.0
4,0,1,0,2.15,3.1,2.95,2.1,2.9,2.9,2.2,3.25,2.75,2.25,3.2,2.8,2.2,3.2,2.8
2,0,2,0,1.3,4.2,8.5,1.45,3.5,5.0,1.36,3.75,8.0,1.36,3.9,8.0,1.28,4.5,8.0
1,0,1,0,1.6,3.5,4.6,1.6,3.2,4.2,1.61,3.5,4.5,1.62,3.4,5.0,1.57,3.5,5.0
0,0,0,0,1.55,3.5,5.0,1.75,3.1,3.6,1.57,3.5,5.0,1.57,3.4,5.5,1.57,3.5,5.0
6,1,1,0,1.45,3.6,6.0,1.5,3.4,4.7,,,,1.44,3.75,6.5,1.4,3.6,7.5
0,1,0,0,3.8,3.2,1.81,3.0,2.9,2.0,,,,3.75,3.25,1.83,3.75,3.3,1.8
1,4,0,1,2.6,3.2,2.3,2.4,2.9,2.4,,,,2.75,3.25,2.25,2.62,3.3,2.25
1,2,0,0,1.7,3.4,4.0,1.7,3.1,3.8,,,,1.8,3.25,4.0,1.66,3.4,4.33
2,2,1,2,2.15,3.2,2.75,2.3,2.9,2.5,,,,2.25,3.25,2.75,2.3,3.1,2.75
0,0,0,0,1.85,3.2,3.6,1.9,3.0,3.1,,,,1.95,3.25,3.4,1.9,3.25,3.4
1,0,1,0,3.5,3.3,1.85,2.9,2.9,2.1,,,,3.6,3.4,1.83,3.75,3.2,1.83
2,1,2,1,2.3,3.2,2.6,2.2,2.9,2.7,,,,2.5,3.2,2.5,2.37,3.3,2.5
5,0,3,0,1.63,3.6,4.2,1.75,3.1,3.6,,,,1.62,3.4,4.75,1.61,3.6,4.33
2,0,2,0,2.3,3.1,2.65,2.2,2.9,2.7,2.37,3.2,2.6,2.3,3.25,2.7,2.37,3.1,2.62
2,2,2,0,1.4,3.8,7.5,1.4,3.6,5.5,1.4,3.75,7.0,1.4,3.75,7.5,1.36,3.75,8.0
3,0,1,0,1.95,3.4,3.0,2.0,2.9,3.0,1.91,3.2,3.5,2.0,3.25,3.25,1.9,3.25,3.4
1,4,0,2,1.9,3.1,3.6,1.9,3.0,3.1,1.8,3.2,4.0,1.83,3.25,3.75,1.8,3.3,3.75
1,1,0,1,1.85,3.2,3.6,1.7,3.1,3.8,1.73,3.5,3.75,1.7,3.2,4.33,1.66,3.4,4.33
1,1,0,1,3.7,3.3,1.75,3.0,2.9,2.0,3.75,3.25,1.8,4.2,3.25,1.75,3.75,3.3,1.8
