FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5
1,3,1,0,4.5,3.4,1.6669999999999998,4.9,3.45,1.68,4.2,3.2,1.7,4.33,3.2,1.73,4.5,3.4,1.67,5.0,3.4,1.67,4.5,3.3,1.66,1.65,1.95,,
2,3,1,1,1.571,3.4,5.5,1.58,3.5,6.0,1.6,3.4,4.6,1.5,3.4,6.0,1.53,3.4,6.0,1.571,3.4,6.0,1.57,3.3,5.5,1.7,1.9,,
2,0,2,0,2.25,3.25,2.75,2.41,3.15,2.82,2.4,3.0,2.6,2.25,3.2,2.75,2.38,3.2,2.63,2.3,3.2,2.8,2.5,3.1,2.5,1.9,1.7,,
1,4,0,2,3.0,3.25,2.1,3.15,3.22,2.31,2.9,3.0,2.2,2.8,3.2,2.2,3.0,3.25,2.1,3.0,3.25,2.2,3.2,3.2,2.0,1.75,1.92,,
0,3,0,1,2.8,3.25,2.2,3.05,3.25,2.23,2.9,3.0,2.2,3.0,3.4,2.0,2.8,3.25,2.2,3.0,3.25,2.2,3.0,3.2,2.1,1.75,1.85,,
1,0,0,0,2.375,3.0,2.75,2.38,3.15,2.8,2.3,3.0,2.7,2.38,3.2,2.6,2.38,3.2,2.63,2.38,3.1,2.88,2.4,3.1,2.6,2.18,1.6,,
0,3,0,1,1.8330000000000002,3.25,3.75,1.93,3.3,3.9,1.9,3.1,3.5,1.73,3.4,4.0,1.8,3.2,4.0,1.909,3.25,3.75,1.83,3.2,3.75,1.8,1.8,,
0,2,0,0,2.6,3.2,2.4,2.47,3.27,2.6,2.5,3.0,2.5,2.6,3.2,2.38,2.5,3.2,2.5,2.6,3.2,2.5,2.6,3.1,2.4,1.9,1.87,,
2,0,1,0,1.5330000000000001,3.5,5.5,1.67,3.42,4.81,1.6,3.4,4.6,1.57,3.5,5.0,1.53,3.4,6.0,1.571,3.5,5.75,1.57,3.3,5.5,1.95,1.65,,
2,1,1,1,1.4,3.75,7.5,1.48,3.85,7.25,1.45,3.8,5.4,1.4,3.75,7.0,1.44,3.5,7.0,1.364,4.0,9.0,1.36,3.75,8.0,1.8,1.8,,
2,0,2,0,2.3,3.2,2.7,2.36,3.2,2.82,2.3,3.0,2.7,2.2,3.25,2.75,2.25,3.25,2.75,2.375,3.2,2.75,2.37,3.1,2.62,1.9,1.7,,
