FTHG,FTAG,HTHG,HTAG,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
0,0,0,0,1.8,3.25,3.9,1.7,3.1,3.8,1.65,3.25,4.5,1.73,3.25,4.33,,,
2,2,0,1,1.5,3.6,5.8,1.4,3.6,5.5,1.3,4,8,1.44,3.6,6.5,1.44,3.5,7
2,1,0,0,2.4,3.1,2.6,2.2,2.9,2.7,2.8,2.85,2.35,2.4,3,2.7,2.37,3.1,2.62
1,1,0,0,2.45,3,2.6,2.4,2.9,2.4,2.5,3.2,2.5,2.5,3.1,2.5,2.5,3.1,2.5
1,0,0,0,2.6,3,2.45,2.3,2.9,2.5,2.6,3.2,2.35,2.6,3.1,2.4,2.62,2.9,2.5
1,1,1,1,3.4,3.1,1.9,2.9,2.9,2.1,3.5,3.2,1.9,3.6,3.1,1.91,,,
0,1,0,0,3.4,3,2,2.9,2.9,2.1,3,3.2,2.1,3,3.2,2.1,3,3,2.2
1,1,1,0,1.45,3.4,6.8,1.45,3.5,5,1.5,3.25,6.5,1.4,3.75,7,1.44,3.6,6.5
2,1,1,0,1.9,3,3.8,1.9,2.9,3.2,1.9,3,3.75,1.83,3.2,3.75,1.9,3.25,3.4
4,1,1,0,1.9,3.1,3.8,2,2.9,3,1.85,3.25,3.6,1.8,3.1,4,1.8,3.3,3.75
4,1,3,0,2,2.9,3.5,1.85,2.9,3.4,1.8,3.25,3.75,2,3.1,3.3,1.9,3.25,3.4
4,2,2,1,1.8,3,4.2,1.7,3.1,3.8,1.85,3.2,3.75,1.73,3.2,4.33,1.72,3.2,4.33
3,1,1,0,3.2,3.05,2.1,2.4,2.9,2.4,2.8,3.2,2.2,3.1,3.1,2.1,3,3,2.2
2,1,0,1,1.75,3.25,4.1,1.65,3.1,4,1.61,3.25,5,1.7,3.25,4.5,1.66,3.3,4.5
4,2,3,1,2.05,3.25,3.1,2,2.9,3,1.91,3,3.75,2,3.1,3.3,2.1,3.2,3
2,0,0,0,1.2,5,8.6,1.2,4.7,9,1.28,4.5,8,1.25,4.75,9,,,
1,0,0,0,1.65,3.4,4.4,1.7,2.9,4,1.5,3.4,6,1.5,3.4,6,1.53,3.4,5.5
3,1,2,0,2.3,3.05,2.8,2.2,2.8,2.8,2.25,3,2.87,2.25,3,2.88,2.37,3.1,2.62
0,1,0,0,1.9,3.2,3.6,1.85,2.9,3.4,2,3.2,3.2,1.9,3.1,3.6,1.9,3.2,3.5
1,2,0,1,2.3,2.9,3,2.1,2.9,2.9,2.25,3.2,2.75,2.25,2.88,3,2.2,3,3
2,0,0,0,1.35,3.9,6.8,1.45,3.5,5,1.33,4,8,1.36,3.8,7.5,1.36,3.75,8
2,1,2,0,1.9,3.2,3.65,1.9,2.9,3.2,1.91,3.2,3.5,1.9,3.2,3.5,1.83,3.3,3.6
3,3,3,1,2.65,3,2.4,2.3,2.9,2.5,,,,2.5,3.1,2.5,2.5,3.1,2.5
0,2,0,0,2.65,2.9,2.55,2.4,2.9,2.4,,,,2.7,3,2.38,2.5,3.1,2.5
2,3,1,1,4,3.2,1.8,3.2,2.9,1.9,,,,3.75,3.1,1.85,,,
4,1,1,1,1.61,3.2,5.3,1.65,3.1,4,,,,1.53,3.4,5.5,1.53,3.4,5.5
0,0,0,0,2.7,3.1,2.35,2.4,2.9,2.4,,,,2.8,3.1,2.25,2.75,3.1,2.3
2,1,0,1,1.85,3.05,4,1.9,2.9,3.2,1.8,3.2,4,1.85,3.1,3.8,1.9,3,3.75
3,2,1,2,1.7,3.2,4,1.8,2.9,3.6,1.8,3.2,4,1.7,3.25,4.33,1.8,3.3,3.75
1,1,0,0,1.95,3.1,3.6,1.85,3,3.3,2.1,3.2,3,1.91,3.2,3.5,2,3.2,3.2
0,0,0,0,1.85,3.2,3.8,1.8,2.9,3.6,1.67,3.25,4.5,1.73,3.2,4.33,1.72,3.4,4
1,1,1,0,2.15,3.15,3,1.9,2.9,3.2,2.1,3.2,3,2.1,3.1,3,2,3.2,3.2
1,5,0,2,1.85,3.2,3.8,1.9,2.8,3.3,1.67,3.25,4.5,1.8,3.25,3.75,1.83,3.2,3.75
1,1,1,1,2.35,3,2.75,2.2,2.8,2.8,2.62,2.87,2.5,2.3,3,2.8,2.2,3,3
2,0,0,0,1.33,4.2,7.6,1.4,3.6,5.5,1.36,3.75,8,1.33,4,8,1.36,3.75,8
4,0,0,0,1.7,3.25,4.45,1.7,3.1,3.8,1.67,3.25,4.5,1.67,3.25,4.5,1.66,3.3,4.5
