FTHG,FTAG,HTHG,HTAG,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
1,2,0,1,2.2,2.9,3.15,2.1,2.9,3.2,2.2,3.2,2.8,2.2,2.88,3.2,2.2,2.8,3.2,2.2,3,3
1,0,1,0,3.3,3.1,2.05,3.6,3,1.9,3.4,2.8,2.1,3.3,3.1,2.05,3.2,3,2.1,3.5,2.75,2.1
2,2,1,0,3.75,3.1,1.91,3.2,2.9,2.1,4,2.87,1.91,3.75,3,1.91,3.75,3,1.91,3.6,2.87,2
0,0,0,0,1.91,3,3.8,2,2.9,3.4,,,,2.05,2.88,3.5,1.91,3,3.75,2.1,2.75,3.5
1,0,1,0,1.65,3.25,5,1.7,3.2,4.2,,,,1.67,3.1,5,1.73,3.1,4.5,1.66,3.1,5
0,0,0,0,2.02,2.9,3.4,1.9,3,3.6,,,,1.8,3.1,4,1.83,3,4,2,2.87,3.6
3,1,1,1,1.55,3.3,6,1.6,3.3,4.8,,,,1.6,3.2,5.5,1.53,3.25,6,1.61,3.25,5
1,0,1,0,2.35,2.8,3,2.3,2.8,2.9,,,,2.4,2.88,2.8,2.38,2.8,2.88,2.37,2.8,2.87
0,0,0,0,1.3,4.4,8.5,1.3,4.2,8,,,,1.29,4.33,8.5,1.25,4.5,10,1.28,4.5,8
1,1,1,1,2.15,2.9,3.27,1.9,3,3.6,,,,2.2,2.9,3.1,2.1,2.8,3.4,2.1,2.87,3.3
1,4,0,0,2.85,3,2.32,2.8,2.9,2.3,,,,2.7,2.88,2.5,2.8,2.88,2.38,2.7,2.8,2.5
3,2,1,2,2.55,2.8,2.75,2.1,2.9,3.2,,,,2.4,2.88,2.75,2.5,2.8,2.75,2.5,2.75,2.75
1,0,0,0,,,,2.2,2.9,3,,,,2.5,2.75,3,2.38,2.8,2.88,2.4,2.75,2.9
1,3,1,3,2.85,2.9,2.4,2.6,2.8,2.6,,,,2.88,2.88,2.38,2.9,2.88,2.3,2.9,2.62,2.5
2,0,2,0,2.1,2.95,3.3,2.1,2.9,3.2,,,,2.1,3,3.25,2.1,3,3.2,2.1,3,3.2
2,0,1,0,1.68,3.1,5.1,1.8,3.1,3.8,,,,1.7,3.2,4.6,1.67,3.1,5,1.66,3.1,5
2,0,1,0,1.34,4,8,1.45,3.8,5.4,,,,1.4,3.75,7,1.36,4,7,1.33,4,8
0,1,0,1,2.5,2.85,2.75,2.3,2.8,2.9,,,,2.5,2.9,2.7,2.5,2.8,2.7,2.5,2.75,2.75
1,2,1,0,2.15,2.9,3.3,2.1,2.8,3.3,,,,2.2,3,3,2.2,2.8,3.2,2.2,2.7,3.3
5,1,0,1,2.15,2.9,3.3,2.1,2.8,3.3,,,,2.1,3,3.25,2.1,2.9,3.25,2.2,2.75,3.25
1,1,0,0,2.15,2.95,3.2,2.3,2.7,3,,,,2.2,2.88,3.2,2.25,2.88,3,2.25,2.75,3.2
2,0,0,0,1.27,4.6,9,1.3,4.2,8,1.3,4,10,1.3,4,9.5,1.29,4.33,8.5,1.25,4.5,10
2,4,2,1,3.2,2.9,2.17,3,2.9,2.2,3.2,2.8,2.2,3,2.9,2.25,3.3,2.88,2.1,3.25,2.75,2.2
1,0,1,0,1.77,3.1,4.4,1.85,3,3.8,1.83,2.8,4.5,1.8,2.9,4.5,1.73,3.1,4.5,1.8,3.1,4
1,3,0,1,1.85,3.05,4.15,1.8,3.1,3.8,1.8,2.87,4.5,1.8,3,4.2,1.8,3,4.33,1.83,2.87,4.33
1,2,0,0,3.4,3,2.05,3.2,2.9,2.1,3,3,2.2,3.2,3,2.1,3.6,2.88,2,3.25,2.75,2.2
3,2,1,2,1.55,3.4,5.6,1.55,3.4,5,1.53,3.5,5.5,1.5,3.5,6,1.53,3.4,5.5,1.5,3.25,6.5
