HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,VCH,VCD,VCA,bit0,bit1,bit2,bit3,bit4,bit5,bit6,bit7,bit8,bit9,bit10,bit11,bit12,bit13,bit14,bit15
Montpellier,Reims,,,,,2.0,3.4,3.75,2.0,3.3,3.7,2.0,3.3,3.7,2.1,3.15,3.45,2.0,3.3,3.8,2.1,3.1,3.8,2.0,3.25,4.1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0
Troyes,Lille,,,,,3.6,3.5,2.0,3.4,3.25,2.15,3.4,3.25,2.15,3.3,3.1,2.2,3.6,3.2,2.15,3.6,3.2,2.15,3.75,3.1,2.15,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1
Sp Gijon,Levante,,,,,2.05,3.2,3.75,2.05,3.2,3.7,2.05,3.2,3.7,2.1,3.3,3.3,2.1,3.2,3.6,2.2,3.1,3.5,2.15,3.3,3.6,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0
Betis,Ath Madrid,,,,,4.5,3.5,1.8,5.0,3.6,1.7,5.0,3.6,1.7,4.7,3.6,1.7,5.75,3.75,1.62,6.0,3.6,1.61,5.75,3.9,1.62,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1
Udinese,Sampdoria,,,,,2.0,3.3,3.8,2.0,3.3,3.75,2.0,3.3,3.75,2.1,3.3,3.3,2.05,3.3,3.75,2.15,3.25,3.5,2.1,3.2,3.8,0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0
Lazio,Palermo,,,,,1.5,4.33,6.0,1.5,4.1,6.25,1.5,4.1,6.25,1.5,4.0,6.1,1.5,4.0,6.5,1.5,4.2,6.5,1.45,4.2,8.0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1
Fiorentina,Empoli,,,,,1.44,4.33,7.0,1.45,4.33,6.75,1.45,4.33,6.75,1.5,4.0,6.1,1.48,4.2,7.0,1.55,4.0,6.0,1.5,4.2,7.0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0
Atalanta,Torino,,,,,2.6,3.1,2.8,2.6,3.1,2.75,2.6,3.1,2.75,2.5,3.15,2.8,2.5,3.1,2.8,2.5,3.2,2.9,2.6,3.0,3.0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,1
Rennes,Bordeaux,,,,,2.25,3.3,3.2,2.3,3.1,3.2,2.3,3.1,3.2,2.3,3.1,3.1,2.25,3.1,3.4,2.37,3.0,3.25,2.38,3.1,3.3,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1
St Etienne,Marseille,,,,,2.3,3.3,3.1,2.3,3.3,3.0,2.3,3.3,3.0,2.3,3.1,3.1,2.3,3.25,3.0,2.37,3.25,3.0,2.4,3.4,3.0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
Hertha,Hoffenheim,,,,,2.05,3.5,3.4,2.15,3.3,3.3,2.15,3.3,3.3,2.1,3.3,3.3,2.1,3.3,3.4,2.05,3.5,3.5,2.1,3.5,3.5,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1
Tottenham,West Ham,,,,,1.66,3.75,5.0,1.65,3.8,5.0,1.65,3.8,5.0,1.7,3.6,4.7,1.62,4.0,5.25,1.67,4.0,4.75,1.5,4.4,7.0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0
Getafe,Vallecano,,,,,2.3,3.3,3.1,2.3,3.25,3.1,2.3,3.25,3.1,2.2,3.2,3.2,2.25,3.3,3.1,2.37,3.4,2.9,2.38,3.4,3.0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0
