2.06,3.3,2.48,2.58,3.4,3.05,0.9804,0.986,1.0065,2.4,3.3,2.6,2.4,3.3,2.6,0.912,0.957,0.858,2.3,3.4,3,2.5,3.3,2.87,0.95,0.957,0.9471,2.3,3.3,2.9,2.4,3.2,2.85,0.912,0.928,0.9405,2.35,3.3,3,2.5,3.3,2.75,0.95,0.957,0.9075,2.2,3.2,2.8,2.62,3.1,2.8,0.9956,0.899,0.924,2.25,3.25,3.1,2.65,3.4,2.7,1.007,0.986,0.891,2.3,3.4,3,2.5,3.4,3,0.95,0.986,0.99,2.5,3.25,2.75,2.4,3.2,2.95,0.912,0.928,0.9735,2.4,3.2,2.7,2.58,3.2,2.9,0.9804,0.928,0.957,0.8,0,1.08,0.84,0,1.08,1.03,2.5,0.83,0.97,2.25,0.93,0,0,0
1.2,5.3,5,1.22,7.6,19,0.9638,1.064,1.33,1.2,5.8,10,1.15,6.5,12,0.9085,0.91,0.84,1.16,7,15,1.22,6,13,0.9638,0.84,0.91,1.22,5.5,12,1.22,5.5,12,0.9638,0.77,0.84,1.18,6.5,16,1.18,6.5,16,0.9322,0.91,1.12,1.17,5.5,11,1.2,6,15,0.948,0.84,1.05,1.2,6.5,11.5,1.25,6.25,12.5,0.9875,0.875,0.875,1.2,7,11,1.2,7.5,17,0.948,1.05,1.19,1.22,6,10.5,1.17,7,15,0.9243,0.98,1.05,1.25,5,10,1.17,7.6,17,0.9243,1.064,1.19,1.03,-1.75,0.85,0.81,-1.75,1.12,0.96,3,0.9,0.87,3,1.03,0,20,2
1.75,3.4,4.2,1.66,4.1,6.2,0.9462,1.025,1.054,1.68,3.5,4.45,1.6,3.5,5.12,0.912,0.875,0.8704,1.75,3.6,4.8,1.66,3.75,5,0.9462,0.9375,0.85,1.7,3.6,4.7,1.7,3.6,4.7,0.969,0.9,0.799,1.73,3.6,4.75,1.63,3.75,5.5,0.9291,0.9375,0.935,1.8,3.3,3.75,1.7,3.5,5.5,0.969,0.875,0.935,1.8,3.5,4.33,1.75,3.6,5.25,0.9975,0.9,0.8925,1.8,3.6,4.33,1.7,3.9,5.5,0.969,0.975,0.935,1.7,3.6,4.8,1.66,3.7,5,0.9462,0.925,0.85,1.73,3.5,4.2,1.69,3.8,5.27,0.9633,0.95,0.8959,0.98,-0.75,0.9,0.9,-0.75,1.02,0.96,2.5,0.9,1.05,2.5,0.85,10,10,1
2.04,3.35,2.66,2.56,3.4,3.1,0.9984,1.02,0.961,2.3,3.2,2.8,2.25,3.25,2.85,0.8775,0.975,0.8835,2.3,3.2,3.2,2.5,3.1,3,0.975,0.93,0.93,2.3,3.3,2.9,2.3,3.3,2.9,0.897,0.99,0.899,2.3,3.25,3.1,2.35,3.25,3,0.9165,0.975,0.93,2.25,3.2,2.75,2.5,3.1,3,0.975,0.93,0.93,2.25,3.25,3.1,2.6,3.1,3,1.014,0.93,0.93,2.4,3.4,2.8,2.55,3.3,3,0.9945,0.99,0.93,2.45,3.2,2.9,2.4,3.15,3.05,0.936,0.945,0.9455,2.35,3.2,2.75,2.58,3.25,2.9,1.0062,0.975,0.899,1.05,-0.25,0.83,0.86,0,1.06,1.09,2.25,0.77,0.86,2.25,1.04,2,13,-2
1.7,3.35,3.6,1.78,3.95,5.3,0.9434,1.027,1.06,1.8,3.4,3.9,1.65,3.55,4.55,0.8745,0.923,0.91,1.8,3.5,4.5,1.72,3.5,5,0.9116,0.91,1,1.95,3.35,3.7,1.95,3.35,3.7,1.0335,0.871,0.74,1.8,3.5,4.5,1.8,3.5,4.5,0.954,0.91,0.9,1.73,3.25,4.2,1.73,3.5,5,0.9169,0.91,1,1.75,3.6,4.5,1.8,3.75,4.6,0.954,0.975,0.92,1.8,3.6,4.33,1.7,3.9,5.5,0.901,1.014,1.1,1.85,3.4,4.2,1.7,3.7,4.8,0.901,0.962,0.96,1.82,3.4,3.85,1.66,4,5.3,0.8798,1.04,1.06,0.85,-0.5,1.03,0.86,-0.75,1.06,0.9,2.5,0.96,0.97,2.5,0.93,0,0,0
2.2,3.35,2.32,2.66,3.5,2.92,0.931,1.015,1.0512,2.68,3.2,2.38,2.45,3.15,2.63,0.8575,0.9135,0.9468,2.62,3.3,2.62,2.62,3.25,2.75,0.917,0.9425,0.99,2.75,3.3,2.4,2.75,3.3,2.4,0.9625,0.957,0.864,2.8,3.3,2.45,2.75,3.3,2.5,0.9625,0.957,0.9,2.37,3.1,2.62,2.7,3.1,2.7,0.945,0.899,0.972,2.5,3.3,2.7,2.75,3.25,2.7,0.9625,0.9425,0.972,2.6,3.4,2.6,2.62,3.4,2.87,0.917,0.986,1.0332,2.8,3.25,2.45,2.55,3.3,2.75,0.8925,0.957,0.99,2.6,3.2,2.5,2.61,3.35,2.8,0.9135,0.9715,1.008,1.01,0,0.87,0.86,0,1.06,0.83,2.5,1.03,0.92,2.5,0.98,20,22,0
2.12,3.3,2.86,2.58,3.25,3.2,1.0062,0.975,0.992,2.25,3.2,2.88,2.2,3.05,3.1,0.858,0.915,0.961,2.3,3.2,3.2,2.5,3.2,3.1,0.975,0.96,0.961,2.3,3.3,2.9,2.3,3.3,2.9,0.897,0.99,0.899,2.25,3.25,3.2,2.35,3.1,3.15,0.9165,0.93,0.9765,2.2,3.2,2.8,2.5,3,3,0.975,0.9,0.93,2.2,3.25,3.25,2.5,3.1,2.9,0.975,0.93,0.899,2.25,3.25,3.2,2.45,3.2,3.25,0.9555,0.96,1.0075,2.35,3.2,3.05,2.5,3,3.05,0.975,0.9,0.9455,2.35,3.2,2.75,2.42,3.15,3.2,0.9438,0.945,0.992,1.05,-0.25,0.83,1.11,-0.025,0.82,1.14,2.25,0.73,0.96,2,0.94,10,11,0
1.36,3.45,6.2,1.54,4.5,7.6,0.9856,0.99,1.064,1.38,4.2,7,1.45,3.9,6.15,0.928,0.858,0.861,1.44,4.33,7,1.57,4,6.5,1.0048,0.88,0.91,1.45,4,7,1.45,4,7,0.928,0.88,0.98,1.4,4.25,9,1.42,4.5,7.5,0.9088,0.99,1.05,1.44,3.75,6,1.5,4,7,0.96,0.88,0.98,1.45,4.2,7,1.53,4,6,0.9792,0.88,0.84,1.53,4,6,1.57,4.2,6.5,1.0048,0.924,0.91,1.44,4.2,7.5,1.5,4.2,6,0.96,0.924,0.84,1.45,4,6.2,1.59,4.25,5.73,1.0176,0.935,0.8022,1.05,-1.25,0.83,1.09,-1,0.83,1.01,2.75,0.85,1.09,2.75,0.81,30,40,4
3.65,3.45,1.65,5.4,4.1,1.74,1.026,1.025,0.957,4.7,3.6,1.63,5.5,3.8,1.52,1.045,0.95,0.836,4.5,3.75,1.72,5.5,4,1.66,1.045,1,0.913,4.9,3.7,1.65,4.9,3.7,1.65,0.931,0.925,0.9075,4.75,3.6,1.73,4.75,3.75,1.7,0.9025,0.9375,0.935,3.75,3.3,1.8,5.5,3.75,1.61,1.045,0.9375,0.8855,4.2,3.6,1.8,4.75,3.7,1.7,0.9025,0.925,0.935,4.33,3.6,1.8,5.5,4.2,1.65,1.045,1.05,0.9075,4.8,3.5,1.72,5.25,3.8,1.61,0.9975,0.95,0.8855,4.35,3.5,1.7,5.4,4.15,1.62,1.026,1.0375,0.891,0.93,0.75,0.95,1.09,0.75,0.83,0.85,2.5,1.01,0.98,2.5,0.92,11,11,0
1.86,4,4.5,1.98,3.85,4.2,1.0098,1.001,0.966,1.82,3.38,3.85,1.8,3.45,3.85,0.918,0.897,0.8855,1.9,3.6,3.8,1.85,3.8,4.2,0.9435,0.988,0.966,1.85,3.45,4,1.85,3.45,4,0.9435,0.897,0.92,1.83,3.75,4,1.8,3.75,4.25,0.918,0.975,0.9775,1.91,3.25,3.4,1.85,3.7,4,0.9435,0.962,0.92,1.8,3.8,4,1.85,3.8,4.2,0.9435,0.988,0.966,1.9,3.5,3.9,1.85,3.9,4.33,0.9435,1.014,0.9959,1.8,3.6,4.2,1.83,3.75,4,0.9333,0.975,0.92,1.87,3.4,3.65,1.78,3.9,4.3,0.9078,1.014,0.989,0.87,-0.5,1.01,0.8,-0.5,1.13,0.93,2.75,0.93,1.02,3,0.88,10,31,2
