FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH
0,0,0,0,2.25,3.2,2.75,2.2,3.2,2.9,2.3,3,2.9,2.3,2.9,2.8,2.25,3,2.875,2.25,3.1,2.87,2.2,3,3,2.1,1.6,1.75,2.08,0,,,,,,
3,1,1,1,1.4,3.75,7,1.45,3.7,6.5,1.4,4,6.8,1.45,3.6,5.8,1.4,3.75,7,1.4,3.75,7.5,1.36,3.75,8,1.83,1.83,1.8,2,-1,,,,,,
1,2,0,0,2.75,3,2.375,2.7,3.15,2.35,2.7,3,2.45,2.7,2.9,2.4,2.6,3.2,2.375,2.75,3,2.4,2.62,3.1,2.37,2.1,1.6,2,1.8,0,,,,,,
0,0,0,0,2.375,3,2.75,2.5,3.2,2.5,2.38,3,2.8,2.2,3,2.9,2.375,3,2.75,2.4,3,2.75,2.2,3.1,2.87,2.2,1.55,1.75,2.05,0,,,,,,
3,1,1,1,1.667,3.4,4.5,1.7,3.3,4.5,1.7,3.3,4.55,1.65,3.2,4.6,1.727,3.2,4.333,1.72,3.25,4.33,1.66,3.3,4.5,2,1.65,1.9,1.9,-0.75,,,,,,
2,0,1,0,2.3,3,2.875,2.5,3.05,2.6,2.4,3,2.75,2.4,2.9,2.7,2.375,3.2,2.6,2.5,3,2.62,2.4,3.1,2.6,1.95,1.71,1.8,2,0,,,,,,
1,1,0,1,2,3.25,3.25,2.25,3.05,2.95,2.05,3.1,3.3,2.1,2.9,3.2,2,3,3.4,2.2,3,3.1,2,3,3.4,2.15,1.57,1.85,1.95,-0.25,,,,,,
0,0,0,0,1.8,3.25,4,1.7,3.3,4.5,1.75,3.15,4.5,1.7,3.2,4.2,1.73,3.2,4.33,1.8,3.25,4,1.66,3.2,4.8,1.95,1.71,1.95,1.85,-0.75,,,,,,
0,0,0,0,1.44,3.75,6.5,1.4,3.9,7,1.5,3.75,5.6,1.5,3.5,5.4,1.5,3.4,6,1.53,3.4,6,1.4,3.75,7,1.9,1.75,1.95,1.85,-1,,,,,,
1,0,1,0,1.72,3.25,4.33,1.7,3.3,4.5,1.7,3.2,4.75,1.7,3.2,4.2,1.73,3.2,4.33,1.73,3.25,4.33,1.66,3.2,4.8,1.9,1.75,1.7,1.91,-0.5,,,,,,
1,0,0,0,1.72,3.25,4.33,1.7,3.3,4.5,1.7,3.2,4.75,1.65,3.2,4.6,1.67,3.2,5,1.67,3.25,4.75,1.61,3.3,5,2.1,1.6,1.95,1.85,-0.75,,,,,,
2,2,1,1,2.75,3,2.37,2.5,3.05,2.6,2.75,3.1,2.35,2.5,2.9,2.6,2.62,2.88,2.5,2.6,3,2.5,2.62,2.9,2.5,2,1.65,1.95,1.85,0,,,,,,
4,0,3,0,1.83,3.25,3.75,1.85,3.1,4,1.85,3.2,3.85,1.8,3.1,3.8,1.8,3,4.33,1.91,3.1,3.75,1.83,3,4,2.1,1.6,1.85,1.75,-0.5,,,,,,
2,0,1,0,1.83,3.25,3.75,1.8,3.15,4.15,1.8,3.1,4.25,1.9,3,3.6,1.8,3,4.33,1.83,3.25,3.75,1.83,3,4,2.1,1.6,1.8,1.79,-0.5,,,,,,
2,1,1,1,2.37,3.2,2.62,2.4,3,2.75,2.35,3.1,2.75,2.3,2.9,2.8,2.25,3,2.88,2.38,3,2.8,2.37,3,2.7,2.15,1.57,1.75,2.1,0,,,,,,
0,1,0,0,2.37,3.2,2.62,2.35,3.15,2.7,2.45,3.15,2.6,2.4,2.9,2.7,2.38,3.2,2.6,2.38,3,2.8,2.37,3,2.7,1.9,1.75,1.8,2,0,,,,,,
0,2,0,0,2.25,2.75,3.2,,,,2.35,2.6,3.2,2.3,2.6,3.1,2.38,2.88,2.8,2.4,2.7,3,2.3,2.7,3.1,2.1,1.6,1.8,2,0.25,,,,,,
1,4,1,3,2.25,3,3,2.1,3.1,3.2,2.25,3,3,2.3,2.9,2.8,2.25,3.2,2.75,2.25,3,3,2.37,3,2.7,2.2,1.55,2,1.8,-0.25,,,,,,
0,0,0,0,1.83,3.1,4,1.9,3.15,3.7,1.85,3.1,4.05,1.85,3,3.8,1.91,3,3.75,1.85,3,4.2,1.8,3,4.2,2.1,1.6,1.85,1.76,-0.5,,,,,,
0,1,0,1,2.1,3,3.25,2.1,3.1,3.2,2.15,3,3.2,2.2,2.8,3.1,2.2,3,3,2.1,3,3.25,2.05,2.9,3.4,2.2,1.55,1.9,1.9,-0.25,,,,,,
2,2,0,1,2.25,3,3,2.3,3,2.9,2.2,3,3.1,2,3.1,3.2,2,3,3.4,2.25,3,3,2.15,3,3.1,2.1,1.6,1.9,1.9,-0.25,,,,,,
1,1,0,0,1.72,3.25,4.33,1.75,3.25,4.25,1.85,3.2,3.9,1.9,2.9,3.8,1.83,3,4,1.73,3.2,4.5,1.72,3.1,4.5,2.1,1.6,1.85,1.76,-0.5,,,,,,
2,1,0,1,1.57,3.4,5.5,1.55,3.5,5.45,1.6,3.3,5.5,1.6,3.3,4.8,1.57,3.25,5.5,1.53,3.4,6,1.57,3.3,5.5,2.1,1.6,1.75,2.1,-0.75,,,,,,
1,0,0,0,2.4,3.1,2.62,2.45,3.05,2.65,2.4,3,2.75,2.4,2.9,2.7,2.4,3.25,2.5,2.4,3,2.75,2.37,3,2.7,1.95,1.71,1.75,2.1,0,,,,,,
0,2,0,0,1.8,3.2,4,1.85,3.25,3.75,1.8,3.2,4.15,1.8,3,4,1.8,3.2,4,1.8,3.1,4.2,1.8,3.1,4,2.2,1.55,1.8,1.81,-0.5,,,,,,
3,1,3,0,2.5,3,2.62,2.55,2.9,2.65,2.55,3,2.6,2.6,2.8,2.6,2.75,3,2.38,2.62,3,2.5,2.5,2.9,2.62,2,1.65,1.85,1.95,0,,,,,,
2,2,1,1,2.2,3,3.1,2.1,3.1,3.2,2.2,3,3.1,2.1,2.9,3.2,2.1,3,3.2,2.2,3,3.1,2.1,3,3.2,2.45,1.45,1.8,2,-0.25,1.88,1.96,-0.25,,,
0,0,0,0,1.44,3.75,6.5,1.35,4,8.25,1.45,3.75,6.5,1.45,3.6,5.8,1.4,3.6,7.5,1.44,3.6,7,1.44,3.5,7,2,1.65,1.8,2,-1,1.82,2.02,-1,,,
