FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH
1,2,1,0,1.66,3.4,4.33,1.7,3.4,4.25,1.7,3.3,4,,,,1.66,3.4,4.5,1.75,3.35,3.75,1.71,2,,,
0,2,0,1,2,3.4,3,2,3.25,3.25,2,3.2,3.1,,,,1.9,3.4,3.4,1.9,3.3,3.25,1.71,2,,,
2,0,1,0,1.25,4.5,10,1.25,4.5,10,1.25,4.5,9,,,,1.22,5,10,1.22,5,9.5,1.3,2.9,,,
1,3,1,1,5,3.5,1.57,5.5,3.7,1.5,5.4,3.8,1.45,,,,5.5,3.75,1.5,5,3.8,1.5,1.6,2.15,,,
2,2,1,2,1.9,3.4,3.25,1.85,3.4,3.55,1.85,3.2,3.5,,,,1.8,3.4,3.75,1.75,3.35,3.75,1.71,2,,,
5,1,3,1,1.1,7,13,1.1,7,15.5,1.07,7,18,,,,1.1,7,15,1.1,6.5,17,,,,,
2,0,1,0,1.3,4.33,8,1.3,4.4,8.3,1.3,4.2,8,,,,1.33,4.2,7.5,1.36,3.75,8,1.35,2.85,,,
0,0,0,0,2.1,3.3,2.87,2.2,3.3,2.8,2.2,3.1,2.8,,,,2.2,3.25,2.75,2.1,3.3,2.8,1.65,2.05,,,
2,2,1,0,1.66,3.4,4.33,1.63,3.6,4.45,1.65,3.4,4.2,,,,1.61,3.4,4.75,1.6,3.5,4.4,1.6,2.15,,,
0,3,0,2,2,3.4,3,1.9,3.4,3.4,1.9,3.2,3.4,,,,1.9,3.3,3.3,1.8,3.3,3.6,1.6,2.15,,,
1,1,1,1,2.8,3.4,2.1,2.85,3.35,2.15,2.6,3.1,2.3,,,,2.75,3.25,2.2,3,3.4,2,1.65,2.05,,,
5,3,3,2,1.66,3.4,4.33,1.72,3.45,4.1,1.75,3.3,3.8,,,,1.72,3.25,4.2,1.8,3.3,3.6,1.71,2,,,
0,3,0,3,2.37,3.25,2.5,2.4,3.25,2.55,2.3,3.1,2.6,,,,2.3,3.25,2.6,2.35,3.3,2.45,1.6,2.15,,,
1,2,1,1,2,3.2,3.2,2.1,3.3,3,2.1,3.2,2.9,,,,2.1,3.2,3,2.05,3.3,2.9,1.65,2.05,,,
2,1,0,1,3.25,3.4,1.9,3.55,3.25,1.9,3.6,3.2,1.8,,,,3.5,3.2,1.9,2.7,3.3,2.15,1.71,2,,,
4,0,3,0,1.25,5,8,1.25,4.85,9,1.25,4.5,9,,,,1.28,4.5,8,1.3,4.4,7,1.55,2.25,,,
1,1,1,0,2.4,3.25,2.5,2.4,3.25,2.55,2.7,3.2,2.2,,,,2.4,3.2,2.5,2.25,3.3,2.55,1.71,2,,,
2,1,0,0,1.83,3.4,3.5,1.9,3.25,3.55,1.9,3.2,3.4,,,,2,3.4,3,1.95,3.25,3.15,1.71,2,,,
1,2,0,1,1.5,3.6,5.5,1.52,3.45,6,1.5,3.7,5,,,,1.57,3.5,5,1.55,3.5,4.8,1.71,2,,,
1,2,1,0,1.8,3.4,3.75,1.72,3.45,4,1.7,3.3,4,,,,1.66,3.4,4.33,1.7,3.35,3.95,1.71,2,,,
2,1,1,0,1.28,4.5,8,1.28,4.5,9,1.3,4.2,8,,,,1.3,4.33,8,1.36,4,7,1.6,2.15,,,
2,2,0,0,2.2,3.2,2.8,2.25,3.2,2.8,1.9,3.3,3.3,,,,2.2,3.1,2.87,2.1,3.2,3,1.75,1.95,,,
2,2,0,1,1.83,3.25,3.75,1.85,3.25,3.75,1.75,3.3,3.8,,,,1.8,3.4,3.6,1.85,3.3,3.4,1.6,2.15,,,
5,1,2,1,1.53,3.6,5,1.45,3.75,6.35,1.6,3.4,4.6,,,,1.57,3.5,5,1.65,3.4,4.2,1.6,2.1,,,
3,2,1,2,1.3,4.33,8,1.3,4.5,8,1.4,3.9,6,,,,1.36,4,7,1.4,3.75,7,1.4,2.6,,,
1,3,0,3,4.33,3.4,1.66,5,3.45,1.6,3.8,3.1,1.8,,,,4.33,3.4,1.67,4.2,3.5,1.66,1.55,2.2,,,
1,0,0,0,2.1,3.4,2.8,2.1,3.1,3.15,2.2,3.1,2.8,,,,2.1,3.3,2.88,2.1,3.3,2.8,1.71,1.95,,,
2,2,0,2,1.72,3.4,4,1.65,3.5,4.5,1.6,3.4,4.6,,,,1.7,3.4,4.2,1.85,3.3,3.4,1.55,2.2,,,
3,3,0,3,4,3.4,1.72,4,3.4,1.75,4,3.3,1.7,,,,4,3.4,1.73,4,3.4,1.72,1.6,2.1,,,
2,1,0,0,2.37,3.25,2.5,2.4,3.1,2.65,2.4,3,2.6,,,,2.4,3.25,2.5,2.35,3.3,2.45,1.65,2,,,
4,1,2,1,2,3.4,3,2.05,3.15,3.25,1.9,3.3,3.3,,,,2,3.4,3,2.05,3.25,2.9,1.65,2,,,
1,0,0,0,3,3.4,2,3.1,3.15,2.1,3.4,3.3,1.85,,,,3.1,3.3,2,2.6,3.25,2.25,1.55,2.2,,,
2,2,1,2,2.3,3.4,2.5,2.25,3.2,2.8,2.2,3.2,2.7,,,,2.25,3.25,2.7,2.35,3.2,2.5,1.6,2.1,,,
1,1,0,0,1.25,5,8,1.25,4.7,10,1.33,4,7.5,,,,1.25,4.75,8.5,1.35,4,6.9,1.6,2.1,,,
1,2,1,1,2.5,3.25,2.37,2.45,3.2,2.55,2.4,3.2,2.4,,,,2.5,3.25,2.37,2.4,3.3,2.4,1.6,2.1,,,
1,1,1,0,1.2,5,11,1.18,5.5,11.5,1.15,6,12,,,,1.2,5,11,1.2,5,11,1.45,2.45,,,
2,1,1,1,1.83,3.25,3.6,1.85,3.3,3.65,1.8,3.3,3.6,,,,1.8,3.4,3.6,1.85,3.25,3.45,1.6,2.1,,,
1,4,1,1,7,3.75,1.4,6.75,3.95,1.4,8,4.2,1.3,,,,6.5,4,1.4,6,3.75,1.44,1.45,2.45,,,
2,3,2,0,1.72,3.4,4,1.72,3.4,4.15,1.8,3.3,3.6,,,,1.75,3.4,3.8,1.9,3.3,3.25,1.65,2,,,
1,0,0,0,2,3.4,3,2.02,3.3,3.15,1.9,3.3,3.3,,,,1.9,3.4,3.25,1.95,3.3,3.1,1.6,2.1,,,
1,3,1,1,5.5,3.6,1.5,5.85,3.6,1.5,5,3.7,1.5,,,,5,3.5,1.57,4.5,3.5,1.61,1.55,2.2,,,
1,1,1,0,1.83,3.4,3.5,1.75,3.4,4,1.8,3.3,3.6,,,,1.83,3.25,3.75,1.7,3.35,4,1.6,2.15,,,
1,5,0,1,1.9,3.4,3.25,1.85,3.3,3.7,1.75,3.3,3.8,,,,1.8,3.25,3.8,,,,1.5,2.35,,,
3,0,2,0,1.28,4.5,8,1.25,4.85,9,1.25,4.5,9,,,,1.25,4.5,10,1.22,5,9.5,1.4,2.65,,,
2,3,2,1,5,3.75,1.53,5.5,3.75,1.5,5.4,3.8,1.45,,,,5.5,3.5,1.53,5,3.6,1.53,1.4,2.65,,,
6,0,3,0,1.53,3.75,5,1.55,3.7,5,1.5,3.7,5,,,,1.53,3.5,5.5,,,,1.55,2.25,,,
0,2,0,1,2.62,3.25,2.3,2.6,3.25,2.35,2.8,3.1,2.2,,,,2.5,3.2,2.4,,,,1.71,2,,,
3,1,2,1,1.28,4.5,8,1.25,4.85,9,1.25,4.5,9,,,,1.29,4.5,8,1.2,5.5,9,1.35,2.85,,,
1,1,0,0,2.1,3.25,3,2.05,3.25,3.1,2.3,2.9,2.8,,,,2.1,3.2,3,1.95,3.2,3.2,1.75,1.95,,,
4,0,2,0,1.66,3.4,4.33,1.58,3.5,5,1.55,3.5,4.8,,,,1.62,3.4,4.75,,,,1.5,2.35,,,
2,0,0,0,2,3.4,3,2,3.2,3.3,2,3.2,3.1,,,,2,3.2,3.2,2,3.2,3.1,1.55,2.2,,,
1,1,1,0,2.2,3.25,2.75,2.3,3.2,2.7,2.3,3.1,2.6,,,,2.2,3.2,2.8,2.1,3.2,2.85,1.6,2.1,,,
2,1,0,0,1.83,3.4,3.5,1.9,3.25,3.55,1.9,3.2,3.4,,,,1.85,3.4,3.5,1.85,3.3,3.4,1.55,2.2,,,
3,0,0,0,1.66,3.4,4.33,1.75,3.4,4,1.7,3.3,4,,,,1.7,3.25,4.33,1.65,3.5,4.1,1.55,2.2,,,
0,4,0,2,8,4.5,1.28,9,4.5,1.28,9,4.5,1.25,,,,8,5,1.25,8,3.75,1.36,1.45,2.45,,,
2,0,2,0,1.57,3.5,5,1.61,3.5,4.8,1.75,3.3,3.8,,,,1.62,3.4,5,1.66,3.3,4.5,1.55,2.2,,,
3,1,1,0,2.37,3.3,2.5,2.35,3.25,2.6,2.4,3.2,2.4,,,,2.3,3.25,2.62,2.25,3.25,2.6,1.6,2.1,,,
1,1,0,0,2.5,3.3,2.37,2.5,3.25,2.45,2.6,3.3,2.2,,,,2.5,3.25,2.4,2.45,3.2,2.4,1.6,2.1,,,
2,1,1,0,1.57,3.5,5,1.55,3.65,5.1,1.6,3.4,4.6,,,,1.53,3.6,5.25,1.53,3.6,5,1.65,2.05,,,
2,0,1,0,1.44,3.75,6,1.45,3.75,6.25,1.45,3.8,5.4,,,,1.44,3.75,6,1.44,3.75,6,1.65,2.05,,,
2,0,1,0,2.5,3.25,2.37,2.85,3.25,2.2,2.7,3.2,2.2,,,,2.5,3.25,2.4,2.4,3.4,2.4,1.65,2.05,,,
1,1,0,0,2,3.4,3,1.95,3.25,3.4,1.9,3.3,3.3,,,,2,3.2,3.2,2,3.3,3,1.52,2.3,,,
7,0,2,0,1.14,6,12,1.15,6,12.5,1.12,6.5,13,,,,1.14,6,12,1.16,5.5,12,1.35,2.85,,,
0,2,0,0,1.83,3.4,3.5,1.8,3.3,3.9,1.75,3.3,3.8,,,,1.8,3.3,3.75,1.7,3.35,4,1.71,2,,,
4,1,2,1,1.2,5,11,1.2,5.2,11,1.17,5.5,11,,,,1.16,5.5,11,1.2,5,11,1.47,2.4,,,
2,3,1,3,2.1,3.4,2.87,2.1,3.3,3,2.1,3.2,2.9,,,,2.1,3.3,2.87,2,3.3,3,1.75,1.95,,,
1,0,0,0,2.3,3.4,2.5,2.55,3.25,2.4,2.7,3.2,2.2,,,,2.5,3.2,2.4,2.45,3.2,2.4,,,,,
5,2,3,1,1.61,3.5,4.5,1.72,3.35,4.2,1.7,3.3,4,,,,1.61,3.5,4.5,1.7,3.35,4,1.5,2.35,,,
2,2,2,0,1.727,3.5,4,1.73,3.4,4.1,1.7,3.2,4.2,,,,1.7,3.3,4.33,1.75,3.25,3.9,1.79,1.9,,,
0,1,0,1,2.5,3.4,2.3,2.8,3.3,2.2,3,3.1,2.1,,,,2.75,3.25,2.2,2.5,3.3,2.3,1.71,2,,,
3,1,1,1,1.2,5,11,1.16,5.6,13,1.15,6,12,,,,1.16,5.5,12,1.2,5,11,1.65,2.05,,,
1,1,1,0,2.3,3.4,2.5,2.35,3.3,2.6,2.3,3.1,2.6,,,,2.25,3.3,2.62,2.2,3.15,2.75,1.95,1.75,,,
4,2,2,1,3,3.4,2,3.1,3.25,2.05,3.1,3.2,2,,,,3,3.2,2.1,3.25,3.4,1.9,1.45,2.5,,,
1,0,0,0,1.2,5,11,1.2,5.4,10.1,1.22,4.8,9.5,,,,1.22,5,9,1.22,5,9.5,1.5,2.35,,,
2,0,2,0,2,3.2,3.2,2,3.25,3.25,1.9,3.2,3.4,,,,2,3.3,3.1,1.95,3.2,3.2,1.55,2.25,,,
0,6,0,2,3.2,3.2,2,3.2,3.3,2,3.4,3.2,1.9,,,,3.1,3.3,2,2.85,3.2,2.1,1.5,2.35,,,
1,1,1,0,2.375,3.3,2.5,2.5,3.25,2.45,2.7,3.2,2.2,,,,2.6,3.25,2.3,2.5,3.2,2.35,1.85,1.85,,,
2,1,1,0,1.909,3.4,3.25,1.9,3.3,3.5,1.9,3.2,3.4,,,,1.85,3.25,3.6,1.9,3.2,3.35,1.79,1.85,,,
3,2,3,1,2,3.4,3,1.95,3.3,3.3,1.9,3.2,3.4,,,,2,3.2,3.2,2,3.2,3.1,1.79,1.85,,,
1,0,1,0,1.5,3.75,5.5,1.45,3.9,5.75,1.5,3.7,5,,,,1.5,3.4,6,1.5,3.45,5.5,1.6,2.1,,,
