FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,B365AHH,B365AHA,B365AH
3,0,2,0,1.8,3,4.33,1.8,3.2,4.25,1.75,3.2,4,1.8,3.2,4,,,,1.8,3,4.33,1.8,3.1,4,2,1.61,1.9,1.9,-0.25,1.875,2.025,-0.5
1,0,0,0,2.2,2.87,3.2,2.1,3.1,3.3,2,2.9,3.4,2,3,3.4,,,,2.1,3,3.25,2.1,3,3.2,2.2,1.51,1.85,1.95,0,1.8,2.1,-0.25
0,2,0,1,3.25,3,2.1,3.75,3.15,1.92,3.5,3.1,1.9,3.4,3,2,,,,3.5,3,2,3.4,3,2,1.95,1.66,1.98,1.81,-0.5,1.875,2.025,0.5
1,2,1,1,2.75,3,2.37,2.92,3,2.35,3,2.9,2.2,3,3.2,2.1,,,,2.75,3,2.37,2.8,3,2.3,1.95,1.66,1.8,2,-0.5,1.95,1.95,0.25
1,0,1,0,2.37,3,2.75,2.5,2.93,2.75,2.3,2.9,2.8,2.375,3,2.75,,,,2.5,2.87,2.7,2.37,3,2.7,2,1.61,1.85,1.95,-0.25,1.9,2,0
2,0,2,0,2.2,2.87,3.2,2.2,3,3.1,2,3,3.3,2.1,3.2,3,,,,2.2,3,3.1,2.2,3,3,2.1,1.56,1.9,1.9,-0.25,1.95,1.95,-0.25
1,1,1,0,1.72,3.2,4.5,1.7,3.15,4.85,1.7,3.2,4.2,1.727,3.2,4.333,,,,1.7,3.1,5,1.66,3.1,5,2,1.61,1.95,1.85,-0.75,2.075,1.825,-0.75
4,0,3,0,1.72,3.2,4.5,1.7,3.15,4.85,1.65,3.2,4.6,1.667,3.25,4.5,,,,1.66,3.2,5,1.66,3.1,5,1.95,1.66,1.85,1.95,-0.75,1.875,2.025,-0.75
2,1,0,1,1.66,3.2,5,1.65,3.15,5.3,1.6,3.3,4.8,1.667,3.25,4.5,,,,1.61,3.2,5.5,1.66,3.1,5,2.2,1.51,1.85,1.95,-0.75,1.9,2,-0.75
1,1,0,1,1.9,3,3.8,1.88,3.05,4,1.85,3.1,3.6,2,3,3.4,,,,1.9,3.1,3.75,1.83,3,4,1.95,1.66,1.9,1.9,-0.5,2,1.9,-0.5
3,0,2,0,1.33,4,8.5,1.35,4,8.5,1.35,4,7,1.25,4.5,10,,,,1.36,4,7.5,1.36,3.75,8,1.7,1.9,2.03,1.77,-1.5,2.075,1.825,-1.5
1,0,1,0,1.9,3,3.8,1.95,3.05,3.7,1.9,3.1,3.5,1.8,3.2,4,,,,1.9,3.1,3.75,1.83,3,4,1.95,1.66,1.93,1.87,-0.5,1.925,1.975,-0.5
