FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH
0,3,0,1,4.5,3.5,1.61,4.45,3.55,1.65,4.55,3.5,1.65,5,3.7,1.5,4.5,3.25,1.67,4.5,3.5,1.62,5,3.5,1.57,1.5,2.3,1.98,1.65,0.5,,,,,,
0,0,0,0,2.1,3.2,3,2,3.35,3.2,2.1,3.3,3,1.9,3.1,3.5,2,3.2,3.2,2.1,3.2,3,2,3.3,3.1,1.65,2,2.1,1.57,-0.5,,,,,,
2,0,1,0,1.83,3.2,3.75,1.9,3.4,3.4,1.85,3.25,3.8,1.9,3.1,3.5,1.8,3.25,3.75,1.91,3.25,3.4,1.8,3.4,3.6,1.65,2,1.85,1.75,-0.5,,,,,,
0,5,0,2,6,3.75,1.44,5.6,3.75,1.5,6,4.3,1.4,6,3.9,1.4,6.5,4,1.4,6,3.75,1.44,6,3.75,1.44,1.45,2.45,2.5,1.4,0.5,,,,,,
0,3,0,1,1.33,4.33,7,1.3,4.5,8.25,1.3,4.3,9,1.35,4,7,1.33,4,8,1.33,4,8,1.33,4,8,1.45,2.45,1.3,2.91,-0.5,,,,,,
1,1,0,1,2.2,3.25,2.75,2.1,3.3,3,2.15,3.3,2.9,2.1,3,3.1,2.1,3.2,3,2.1,3.2,3,2.15,3.3,2.8,1.65,2,2.15,1.54,-0.5,,,,,,
1,0,0,0,1.25,5,8,1.25,5.25,8,1.27,4.5,9.5,1.25,4.5,9,1.3,4,9,1.25,4.75,8.5,1.28,4.5,8,1.83,1.83,1.27,3.05,-0.5,1.98,1.86,-1.75,,,
3,1,2,1,1.83,3.2,3.75,1.8,3.4,3.8,1.8,3.4,3.8,1.8,3.1,3.8,1.67,3.25,4.5,1.8,3.25,3.8,1.75,3.35,3.9,1.65,2,1.75,1.84,-0.5,1.76,2.08,-0.5,,,
4,0,0,0,1.36,4,7,1.3,4.5,8.25,1.3,4.5,8,1.35,4,7,1.3,4.33,8,1.36,4,7,1.3,4.33,8,1.5,2.3,1.3,2.88,-0.5,1.78,2.06,-1.25,,,
0,4,0,2,4.33,3.4,1.66,5.25,3.6,1.55,5,3.5,1.6,4.6,3.4,1.6,5.5,3.6,1.5,5,3.5,1.57,4.5,3.5,1.61,1.55,2.2,2.25,1.5,0.5,2.02,1.82,1,,,
0,0,0,0,1.53,3.6,5,1.5,3.75,5.6,1.5,3.6,6,1.45,3.8,5.4,1.5,3.6,5.5,1.53,3.6,5.25,1.55,3.5,5.2,1.55,2.2,1.5,2.25,-0.5,1.92,1.92,-1.25,,,
0,0,0,0,2.5,3.1,2.5,2.45,3.2,2.55,2.4,3.2,2.6,2.7,3,2.3,2.38,3.25,2.5,2.5,3.1,2.5,2.35,3.3,2.55,1.71,1.95,2.4,1.43,-0.5,,,,,,
0,0,0,0,2.25,3.2,2.75,2.15,3.3,2.9,2.15,3.3,2.9,2.2,3,2.9,2.25,3.2,2.75,2.2,3.2,2.8,2.15,3.3,2.8,1.71,1.95,2.15,1.54,-0.5,2,1.84,-0.25,,,
0,4,0,3,1.9,3.2,3.5,1.9,3.4,3.4,1.85,3.3,3.75,1.85,3.1,3.6,1.8,3.2,4,1.91,3.25,3.4,1.75,3.3,4,1.65,2,1.85,1.76,-0.5,2,1.84,-0.5,,,
