FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5
2,1,0,0,1.667,3.3,4.5,1.72,3.35,4.65,1.65,3.3,4.4,1.62,3.25,5,1.67,3.4,4.5,1.6,3.4,5,1.61,3.1,5.5,1.75,1.85,,
0,1,0,0,1.667,3.4,4.333,1.61,3.4,5.5,1.7,3.2,4.2,1.62,3.25,5,1.62,3.4,5,1.615,3.3,5.25,1.66,3.1,5,1.8,1.8,,
2,2,1,2,1.909,3.2,3.5,2.06,3.2,3.3,1.9,3.1,3.5,1.8,3.2,4,1.91,3.2,3.6,2,3.2,3.4,1.9,3,3.75,1.75,1.85,,
1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0,1,2.7,3,2.4,3,3,2.44,2.7,3,2.3,2.75,3,2.38,2.75,3.1,2.38,3,3.1,2.2,2.75,3.1,2.3,1.75,1.89,,
2,0,1,0,4.5,3.25,1.667,4.75,3.5,1.65,4.2,3.2,1.7,4.33,3.2,1.73,4.33,3.25,1.73,4.5,3.4,1.667,4.2,3.25,1.72,1.7,1.93,,
3,1,0,1,3,3,2.2,,,,2.7,3,2.3,3,3,2.2,2.88,3.2,2.2,3,3.2,2.2,3.1,3.1,2.1,1.75,1.88,,
2,2,1,1,2.5,3.1,2.5,2.5,3.1,2.65,2.3,3,2.7,2.6,3.2,2.38,2.4,3.2,2.62,2.4,3.2,2.625,2.37,3.1,2.62,1.75,1.91,,
1,1,1,0,2.3,3.2,2.625,2.51,3.15,2.8,2.3,3,2.7,2.38,3.2,2.6,2.38,3.2,2.62,2.375,3.2,2.7,2.25,3.1,2.8,1.75,1.95,,
0,1,0,1,1.667,3.3,4.5,1.7,3.4,4.8,1.55,3.5,4.8,1.57,3.5,5,1.67,3.4,4.5,1.667,3.4,4.75,1.66,3.3,4.5,1.7,1.95,,
0,1,0,1,1.444,3.6,6.5,1.41,4,7.2,1.45,3.8,5.4,1.4,3.75,7,1.44,3.5,7,1.444,3.75,7,1.4,3.6,7.5,1.65,2.1,,
2,0,0,0,1.667,3.3,4.5,1.7,3.35,4.9,1.65,3.3,4.4,1.67,3.25,4.5,1.73,3.25,4.5,1.727,3.25,4.5,1.72,3.25,4.2,1.85,1.8,,
2,1,2,1,2.1,3.2,3,2.25,3.1,3.1,2.2,2.8,3.1,2.25,3,2.88,2.2,3.2,2.88,2.2,3.2,3,2.2,3,3,1.92,1.75,,
2,1,0,0,3.25,3.4,1.909,3.4,3.15,2.15,3.2,3.1,2,3,3.2,2.1,3.1,3.25,2.1,3.2,3.25,2,3.1,3.1,2.1,1.72,1.95,,
6,1,4,0,1.4,3.75,7,1.45,4,7.75,1.35,4,7,1.4,3.75,7,1.4,3.75,7.5,1.4,3.75,7.5,1.36,3.75,8,1.55,2.15,,
0,0,0,0,1.727,3.2,4.333,1.87,3.25,4.15,1.8,3.1,3.8,1.73,3.2,4.33,1.73,3.2,4.33,1.75,3.2,4.333,1.66,3.3,4.5,1.65,1.95,,
