FTHG,FTAG,HTHG,HTAG,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
3,1,2,1,1.7,3.25,4.65,1.7,3.2,4.2,1.73,3.2,4.33,1.67,3.3,4.5,1.67,3.25,4.5,1.66,3.3,4.5
3,3,0,0,2.3,3.1,2.7,2.3,2.7,3,2.25,3.2,2.75,2.15,3.2,3,2.38,3.1,2.6,2.3,3.1,2.75
0,2,0,1,4.65,3.5,1.62,3.8,3.1,1.8,4.5,3.25,1.67,4.75,3.4,1.62,3.75,3.25,1.8,4.5,3.5,1.61
2,2,1,0,1.6,3.4,5.1,1.7,3.2,4.2,1.67,3.25,4.5,1.62,3.3,5,1.62,3.25,5,1.66,3.1,5
1,0,0,0,1.73,3.2,4.4,1.65,3.3,4.4,1.73,3.2,4.33,1.7,3,5,1.8,3,4.33,1.72,3.1,4.5
1,1,1,1,1.72,3.3,4.3,1.75,3.2,4,1.67,3.25,4.5,1.67,3.3,4.6,1.62,3.5,4.5,1.66,3.3,4.5
1,0,0,0,2.2,3.05,3,2.2,2.9,3,2.2,3.2,2.8,2.25,3.2,2.75,2.1,3.2,3,,,
0,0,0,0,2.4,3.1,2.7,2.3,2.9,2.8,2.25,3.2,2.75,2.4,3.1,2.62,2.38,3.1,2.6,2.37,3.1,2.62
0,0,0,0,2.1,3.05,3.2,2,3,3.3,2.1,3,3.2,2.1,3.1,3.1,2,3.2,3.2,2.1,3.1,3.1
1,1,1,1,1.8,3.25,4,1.8,3.1,3.8,1.8,3.2,4,1.75,3.25,4.2,1.8,3.25,3.75,1.8,3.3,3.75
0,2,0,1,2.35,3.1,2.75,2.3,2.9,2.8,2.2,3,3,2.25,3.1,2.88,2.25,3.2,2.75,2.3,3.1,2.75
2,3,2,0,2.4,3,2.75,2.1,2.9,3.2,2.25,2.87,3,2.38,2.88,2.8,2.5,2.88,2.62,2.37,2.9,2.8
1,1,0,1,1.8,3.2,4.05,1.75,3.2,4,1.73,3.2,4.33,1.7,3.25,4.33,1.8,3.25,3.75,,,
3,1,1,1,1.2,5,12,1.2,5,10,1.2,5,11,1.22,5,10,1.2,5,11,1.25,4.5,10
0,1,0,0,1.6,3.3,5.3,1.7,3.2,4.2,1.61,3.25,5,1.53,3.4,5.75,1.53,3.4,5.5,1.57,3.3,5.5
1,1,0,0,1.45,3.6,6.7,1.45,3.8,5.4,1.4,3.75,7,1.4,3.75,7,1.4,3.75,7,1.44,3.6,6.5
1,0,1,0,1.8,3.2,4.05,1.8,3,4,1.8,3.2,4,1.73,3.2,4.33,1.73,3.4,4,1.8,3.1,4
2,0,1,0,1.55,3.4,5.65,1.55,3.4,5,1.57,3.25,5.5,1.5,3.4,6,1.5,3.4,6,1.5,3.4,6
1,1,1,0,2.8,3.1,2.3,2.8,2.9,2.3,2.6,3.2,2.37,2.7,3.2,2.3,2.7,3.1,2.3,2.87,3.1,2.2
0,0,0,0,1.75,3.2,4.3,1.65,3.3,4.4,1.8,3.2,4,1.73,3.25,4.33,1.67,3.25,4.5,1.72,3.2,4.33
0,1,0,1,2.82,3.15,2.27,2.8,2.9,2.3,2.75,3.2,2.25,2.88,3.2,2.2,2.75,3.2,2.25,2.62,3.1,2.37
2,0,1,0,1.6,3.45,5,1.65,3.3,4.4,1.44,3.6,6.5,1.57,3.3,5.5,1.62,3.5,4.5,1.53,3.6,5
2,0,0,0,3,3.15,2.15,3.2,2.9,2.1,3.2,3,2.1,2.88,3.1,2.25,2.8,3.2,2.2,2.87,3.1,2.2
6,0,1,0,1.91,3.15,3.65,1.85,3.1,3.6,1.8,3.2,4,1.85,3.2,3.75,1.91,3.2,3.5,1.9,3.25,3.4
0,1,0,0,2.55,2.95,2.6,2.4,2.8,2.8,2.5,2.87,2.62,2.38,3,2.75,2.38,2.88,2.8,2.37,3,2.7
1,3,0,1,2,3.1,3.4,1.85,3.1,3.6,1.91,3,3.75,2,2.9,3.6,2,3.1,3.3,2,3.2,3.2
2,1,2,1,1.51,3.5,5.95,1.55,3.5,4.8,1.57,3.25,5.5,1.57,3.4,5.5,1.44,3.6,6.5,1.57,3.3,5.5
1,1,0,0,3.7,3.3,1.85,3.5,3.1,1.9,3.75,3.2,1.83,4,3.25,1.8,3.4,3.25,1.91,3.4,3.25,1.9
0,1,0,0,2.67,3.1,2.4,2.5,3,2.5,2.5,3.2,2.5,2.6,3,2.5,2.6,3.1,2.38,,,
3,2,2,0,2,3.15,3.35,2,3,3.3,1.91,3.2,3.5,2,3,3.5,2,3.2,3.2,2,3.2,3.2
2,2,0,1,1.35,4.15,7.5,1.35,4,7,1.3,4,9,1.3,4,10,1.36,4,7,1.33,4,8
0,0,0,0,1.97,3.15,3.45,1.9,3,3.6,1.91,3.2,3.5,1.9,3.2,3.6,1.91,3.2,3.5,1.9,3.2,3.5
3,1,2,1,1.67,3.35,4.6,1.6,3.4,4.6,1.61,3.25,5,1.55,3.4,5.5,1.67,3.25,4.5,1.57,3.5,5
0,2,0,1,2.08,3.05,3.25,2,3,3.3,2.1,3,3.2,2.1,3,3.25,2.1,3.2,3,2.1,3.2,3
0,2,0,0,1.53,3.55,5.5,1.55,3.5,4.8,1.57,3.25,5.5,1.53,3.4,6,1.53,3.4,5.5,,,
1,2,0,0,1.5,3.55,5.9,1.5,3.5,5.4,1.5,3.25,6.5,1.5,3.5,6,1.53,3.4,5.5,1.5,3.6,5.5
2,0,1,0,1.37,4,7.4,1.3,4.2,8,1.36,3.75,8,1.36,3.75,8.5,1.36,4,7,1.4,3.6,7.5
1,3,1,2,2.3,2.95,2.92,2.1,2.9,3.2,2.25,3,2.87,2.25,2.9,3,2.3,2.9,2.88,2.2,2.8,3.2
2,0,1,0,2,3.1,3.4,2.1,2.9,3.2,2,3.2,3.2,2,3.1,3.4,2.1,3.2,3,2,3.1,3.3
2,1,1,0,2.25,3.05,2.9,2.2,2.9,3,2.2,3.2,2.8,2.2,3,3,2.2,3.1,2.88,2.25,3,2.87
2,1,1,1,1.85,3.2,3.85,1.85,3.1,3.6,1.8,3.2,4,1.95,3.2,3.4,1.83,3.2,3.75,1.9,3.1,3.6
1,1,0,0,1.65,3.4,4.65,1.7,3.2,4.2,1.73,3.2,4.33,1.7,3.2,4.5,1.73,3.2,4.33,1.66,3.3,4.5
1,0,1,0,1.6,3.4,5.1,1.65,3.3,4.4,1.73,3.2,4.33,1.62,3.25,5,1.62,3.5,4.5,1.57,3.5,5
3,1,1,1,1.4,3.8,7.2,1.45,3.8,5.4,1.44,3.6,6.5,1.4,3.75,7,1.36,4,7,1.44,3.6,6.5
1,1,0,0,1.65,3.4,4.65,1.75,3.2,4,1.73,3.2,4.33,1.67,3.3,4.5,1.67,3.25,4.5,1.66,3.3,4.5
1,1,1,0,1.4,3.8,7.2,1.4,3.9,6,1.44,3.6,6.5,1.5,3.4,6,1.44,3.6,6.5,,,
3,1,1,0,2.15,3.05,3.15,2,3,3.3,2.1,3,3.2,2.1,3,3.2,2.1,3.1,3.1,2,3.1,3.3
1,0,0,0,1.53,3.5,5.5,1.6,3.4,4.6,1.53,3.5,5.5,1.57,3.3,5.5,1.53,3.4,5.5,1.57,3.3,5.5
3,0,2,0,2.8,3.1,2.3,2.5,3,2.5,2.6,3.2,2.37,2.7,3.1,2.3,2.7,3.1,2.3,2.62,2.9,2.5
0,0,0,0,1.95,3.1,3.6,1.9,3.1,3.5,1.91,3.2,3.5,1.91,3.2,3.5,1.91,3.2,3.5,1.9,3.2,3.5
