FTHG,FTAG,HTHG,HTAG,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
2,0,1,0,1.35,4.15,7,1.35,3.8,6.2,1.33,4,8,,,,1.35,4.2,6.5
0,0,0,0,2.45,3.1,2.55,2.6,3,2.2,2.38,3.25,2.5,,,,2.4,3.25,2.45
4,1,1,1,1.35,4.2,7,1.35,3.8,6.2,1.4,3.75,7,,,,1.4,4,6
4,0,1,0,1.38,4,6.75,1.4,3.6,5.5,1.44,3.6,6.5,,,,1.45,3.75,5.5
2,0,0,0,2,3.2,3.25,2.1,2.9,2.9,1.91,3.25,3.4,,,,1.9,3.25,3.3
2,3,1,2,2.2,3.25,2.75,2.2,3,2.6,2.2,3.2,2.8,,,,2.1,3.4,2.75
1,1,0,0,2.35,3.2,2.6,2.2,2.9,2.7,2.3,3.25,2.62,2.3,3.2,2.62,2.25,3.25,2.6
1,0,1,0,3.25,3.3,1.95,3.5,3,1.8,3.4,3.25,1.91,3.2,3.2,2,3.25,3.3,1.9
1,0,0,0,1.85,3.3,3.6,1.9,3,3.1,1.83,3.4,3.5,1.91,3.4,3.25,1.9,3.4,3.2
3,3,2,1,1.7,3.4,4.2,1.6,3.3,4,1.67,3.4,4.33,1.62,3.5,4.5,1.7,3.4,4
2,1,1,1,4.4,3.5,1.65,4.7,3.4,1.5,4,3.4,1.73,4,3.4,1.73,3.8,3.5,1.7
1,1,0,0,4,3.5,1.7,3.6,3.1,1.75,4,3.5,1.7,4,3.4,1.73,3.8,3.5,1.7
2,1,2,0,3.4,3.3,1.9,3.6,3.1,1.75,3.3,3.3,1.91,3.4,3.5,1.83,3.2,3.4,1.9
3,1,1,1,1.7,3.4,4.25,1.7,3.1,3.8,1.75,3.4,3.8,1.67,3.4,4.33,1.8,3.4,3.5
1,1,0,1,1.7,3.4,4.2,1.8,3,3.5,1.62,3.5,4.5,1.67,3.4,4.33,1.6,3.5,4.5
3,0,2,0,1.35,4.2,7,1.4,3.6,5.5,1.36,4,7,,,,1.35,4,7
0,1,0,0,1.85,3.3,3.6,1.9,2.9,3.2,1.8,3.4,3.6,1.8,3.4,3.6,1.8,3.4,3.5
1,3,0,1,2.2,3.1,2.9,2.3,2.9,2.5,2.2,3.25,2.75,2,3.2,3.2,2.1,3.2,2.9
3,2,2,1,1.6,3.6,4.6,1.7,3.1,3.8,1.6,3.4,4.8,1.62,3.5,4.5,1.65,3.4,4.25
3,1,1,1,1.32,4.3,7.6,1.3,4,7,1.4,3.75,7,1.36,4,7,1.4,3.75,6.5
1,1,0,0,1.8,3.3,3.8,1.75,3.1,3.6,1.73,3.4,4,1.73,3.4,4,1.7,3.35,4
1,3,1,1,1.25,4.8,8.7,1.35,3.8,6.2,1.29,4.5,8,1.36,4,7,1.35,4,7
4,2,2,2,1.7,3.35,4.25,1.8,3,3.5,1.73,3.25,4.2,1.73,3.4,4,1.7,3.35,4
6,0,3,0,1.57,3.6,4.85,1.65,3.2,3.9,1.57,3.5,5,1.62,3.5,4.5,1.55,3.55,4.75
3,2,2,2,1.7,3.3,4.25,1.7,3.1,3.8,1.67,3.3,4.5,,,,1.65,3.25,4.5
3,0,1,0,1.8,3.25,3.9,2,3,2.9,1.8,3.3,3.75,,,,1.7,3.4,4
1,4,0,3,2.45,3.2,2.5,2.6,3,2.2,2.5,3.25,2.4,,,,2.35,3.25,2.5
5,0,2,0,1.55,3.6,5,1.6,3.2,4.2,1.57,3.5,5,,,,1.55,3.6,4.75
0,0,0,0,2.3,3.2,2.7,2.2,2.9,2.7,2.38,3.25,2.5,,,,2.35,3.25,2.5
2,0,1,0,1.5,3.6,5.6,1.4,3.6,5.5,1.57,3.5,5,,,,1.55,3.4,5
1,3,0,2,2.05,3.2,3.1,2.2,3,2.9,2,3.2,3.2,,,,2,3.3,3.1
3,1,1,0,1.4,4,6.5,1.35,3.8,6.2,1.44,3.6,6.5,,,,1.4,3.75,6.5
0,3,0,0,2,3.2,3.2,2.2,3,2.6,2,3.2,3.2,,,,1.95,3.25,3.2
3,1,1,1,2,3.2,3.2,1.9,2.9,3.2,2,3.3,3.1,,,,1.95,3.25,3.2
0,1,0,0,1.92,3.3,3.35,1.9,3,3.1,1.91,3.4,3.25,,,,1.9,3.4,3.2
3,2,0,2,1.34,4.15,7.1,1.35,4,7,1.4,3.75,7,1.33,4.33,7,1.35,4,7
1,3,0,0,2.35,3.2,2.6,2.3,3,2.4,2.4,3.25,2.5,2.25,3.4,2.6,2.25,3.3,2.6
2,3,0,2,3.05,3.25,2.05,3.3,3,1.85,3,3.4,2,3,3.4,2,2.9,3.2,2.1
1,0,0,0,1.5,3.75,5.4,1.55,3.3,4.5,1.53,3.5,5.2,1.53,3.4,5.5,1.5,3.7,5
3,2,1,2,2.5,3.2,2.45,2.35,3,2.35,2.5,3.25,2.4,2.38,3.25,2.5,2.35,3.3,2.45
3,3,1,1,2.75,3.3,2.2,2.35,3,2.35,2.62,3.2,2.3,2.7,3.3,2.2,2.6,3.3,2.25
1,2,0,1,1.75,3.5,3.8,1.8,3,3.5,1.75,3.4,3.8,1.67,3.4,4.33,1.7,3.5,3.8
1,0,0,0,2.42,3.3,2.47,2.4,2.9,2.4,2.4,3.25,2.5,2.5,3.2,2.4,2.3,3.25,2.62
3,0,1,0,1.25,4.8,8.7,1.25,4.3,8,1.33,4.33,7,1.36,4,7,1.35,4.2,6.5
3,0,1,0,1.75,3.5,3.8,1.75,3.1,3.6,1.8,3.3,3.75,1.73,3.4,4,1.7,3.6,3.75
