FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
2,0,1,0,2,3.25,4.2,2,3.1,4,1.9,3.35,3.9,1.91,2.9,4.2,2.07,3.17,4.41,2.05,2.88,4.5,2.05,3.2,4.5,37,2.1,2,3.35,3.11,5,4.2,28,2.8,2.6,1.5,1.47,24,-0.5,2.09,2.01,1.88,1.84
0,3,0,0,4.2,3.25,2,3.75,3.3,2,3.75,3.2,2,4,3.1,1.91,4.31,3.36,2.02,4.2,3.1,2,4.5,3.3,2,37,4.5,4.09,3.36,3.22,2.05,1.97,28,2.5,2.38,1.6,1.55,24,0.5,1.91,1.87,2.02,1.98
2,1,1,1,1.73,3.4,5.75,1.73,3.5,5,1.65,3.5,5.3,1.62,3.3,6,1.7,3.59,6.36,1.73,3.2,6,1.7,3.6,6.5,37,1.73,1.67,3.6,3.44,6.5,5.79,28,2.6,2.47,1.55,1.51,22,-0.75,1.95,1.91,2.01,1.93
2,2,2,1,1.25,5.75,13,1.25,6,12,1.25,5.5,10.3,1.25,5.5,13,1.28,5.96,13.94,1.22,6,13,1.29,5.75,13,37,1.29,1.26,6,5.61,17,12.64,32,1.83,1.77,2.11,2.03,26,-1.5,1.94,1.87,2.02,1.96
3,1,0,1,1.91,3.3,4.5,1.95,3.25,4,2.1,3.15,3.45,1.95,3.1,4.33,2,3.31,4.48,1.95,3.1,4.5,2,3.3,4.5,37,2.1,1.96,3.4,3.24,4.75,4.18,26,2.54,2.39,1.6,1.55,25,-0.5,2.02,1.96,1.97,1.87
0,0,0,0,1.83,3.4,4.75,1.83,3.4,4.75,1.85,3.4,4.1,1.8,3.25,5,1.83,3.49,5.17,1.85,3.1,5,1.85,3.4,5.25,36,1.87,1.81,3.5,3.35,5.25,4.8,25,2.5,2.41,1.58,1.54,24,-0.5,1.88,1.81,2.09,2.03
1,2,0,1,2.5,3.1,3.1,2.7,2.95,3,2.6,3.2,2.6,2.62,2.9,2.9,2.85,3.1,2.88,2.7,2.9,2.9,2.8,3.1,2.9,37,2.85,2.66,3.2,3,3.1,2.85,26,2.77,2.55,1.55,1.49,25,0,1.95,1.86,2.04,1.96
0,1,0,0,2.25,3.1,3.5,2.25,3.1,3.3,2,3.2,3.75,2.2,3,3.5,2.25,3.29,3.68,2.3,3,3.4,2.3,3.25,3.5,36,2.3,2.2,3.4,3.18,3.75,3.44,25,2.5,2.36,1.62,1.56,23,-0.25,1.94,1.89,2,1.94
2,2,2,0,2,3.5,3.75,2.05,3.2,3.7,2.1,3.15,3.45,1.95,3.25,4,2.02,3.53,4.05,2.05,3.1,4,2,3.5,4.1,36,2.1,1.99,3.56,3.38,4.15,3.82,30,2.2,2.09,1.8,1.73,24,-0.5,2.05,1.98,1.93,1.86
1,3,0,2,2.25,3.2,3.4,2.3,3.1,3.25,2.25,3.1,3.2,2.3,3.1,3.25,2.35,3.35,3.33,2.3,3.1,3.3,2.38,3.3,3.3,36,2.4,2.28,3.38,3.23,3.4,3.21,32,2.14,2.05,1.85,1.75,23,-0.25,2.05,1.97,1.92,1.86
0,1,0,1,4.5,3.3,1.91,4.6,3.3,1.91,3.45,3.15,2.1,4.5,3.1,1.91,4.61,3.32,1.99,4.5,3.1,1.95,4.8,3.25,1.95,36,5,4.42,3.32,3.21,2.1,1.92,25,2.75,2.59,1.55,1.48,24,0.5,1.99,1.92,1.99,1.91
4,1,1,0,1.44,4.2,8.5,1.5,4,7.25,1.45,4,7,1.5,3.8,7,1.5,4.27,7.99,1.53,3.6,7.5,1.53,4.3,7.5,37,1.53,1.48,4.33,4.06,8.5,7.35,33,2,1.91,1.98,1.89,26,-1,1.91,1.84,2.05,1.99
0,2,0,0,2.6,2.88,3.1,2.7,2.9,3,2.5,3.1,2.8,2.62,2.8,3,2.69,3,3.17,2.75,2.75,3,2.7,2.9,3.2,37,2.75,2.62,3.1,2.9,3.25,3,26,3.32,2.99,1.41,1.37,25,0,1.84,1.78,2.14,2.05
