FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH
2,1,1,0,1.72,3.4,4.5,1.75,3.4,4.3,1.7,3.2,4.2,1.727,3.4,4,1.73,3.25,4.33,1.72,3.25,4.33,1.66,3.3,4.5,1.75,1.95,1.8,1.9,2.05,1.75,-0.75,1.95,1.9,-0.75,2.05,1.85,-0.75
0,0,0,0,2.1,3.2,3.25,2.02,3.25,3.4,1.9,3.1,3.5,2,3.2,3.2,2.1,3.25,3,2.1,3.1,3.2,1.9,3.2,3.5,1.79,1.9,1.83,1.83,2,1.8,-0.5,2.05,1.8,-0.5,1.825,2.075,-0.25
3,2,1,0,4,3.4,1.8,4.3,3.35,1.75,3.8,3.1,1.8,4,3.4,1.727,4,3.25,1.8,4,3.25,1.8,3.75,3.3,1.8,1.71,2,1.72,2,1.8,2,0.5,2.05,1.8,0.5,2.075,1.825,0.5
2,2,2,2,1.8,3.2,4.33,1.8,3.35,4.1,1.8,3.1,3.8,1.8,3.2,4,1.8,3.25,4,1.8,3.25,4,1.9,3.2,3.5,1.79,1.9,1.9,1.8,1.8,2,-0.5,1.8,2.05,-0.5,1.8,2.1,-0.5
0,2,0,1,1.72,3.4,4.5,1.72,3.4,4.5,1.7,3.2,4.2,1.727,3.2,4.333,1.67,3.4,4.5,1.7,3.4,4.33,1.72,3.25,4.2,1.75,1.95,1.8,1.9,2,1.8,-0.75,2,1.85,-0.75,1.975,1.925,-0.75
3,3,1,2,1.57,3.6,5.5,1.55,3.4,6.2,1.5,3.7,5,1.5,3.4,6,1.5,3.5,6,1.5,3.5,6,1.5,3.4,6,1.65,2.05,1.66,2.1,1.9,1.9,-1,2.05,1.8,-1,2.075,1.825,-1
2,2,1,1,2.25,3.25,2.87,2.32,3.15,2.85,2.3,3,2.7,2.25,3.2,2.75,2.38,3.2,2.62,2.3,3.2,2.7,2.25,3.2,2.75,1.75,1.95,1.8,1.9,2,1.8,-0.25,2,1.85,-0.25,2,1.9,-0.25
2,3,1,2,2.37,3.25,2.7,2.3,3.25,2.8,2.3,3,2.7,2.38,3.2,2.6,2.38,3.2,2.62,2.38,3.2,2.62,2.4,3.1,2.6,1.65,2.05,1.8,1.9,2.08,1.75,-0.25,2.1,1.75,-0.25,2.1,1.8,-0.25
2,1,2,1,2.5,3.2,2.6,2.45,3.25,2.6,2.3,3,2.7,2.4,3.25,2.5,2.5,3.2,2.5,2.5,3.2,2.5,2.37,3.1,2.62,1.65,2.05,1.72,2,1.85,1.95,0,1.8,2.05,0,1.8,2.1,0
2,0,1,0,1.72,3.4,4.5,1.8,3.3,4.2,1.8,3.1,3.8,1.8,3.25,3.75,1.73,3.25,4.5,1.75,3.25,4.2,1.66,3.3,4.5,1.65,2.05,1.72,2,1.95,1.85,-0.75,1.9,1.95,-0.75,1.9,2,-0.75
1,0,0,0,2.3,3.25,2.8,2.35,3.15,2.85,2.2,3,2.9,2.25,3.2,2.75,2.3,3.1,2.8,2.3,3.1,2.8,2.2,3.2,2.8,1.75,1.95,1.8,1.9,2,1.8,-0.25,2.05,1.8,-0.25,2.1,1.8,-0.25
2,1,0,0,1.72,3.4,4.5,1.7,3.4,4.6,1.75,3.2,4,1.73,3.4,4,1.73,3.25,4.33,1.73,3.25,4.33,1.72,3.2,4.33,1.65,2.05,1.72,2,2,1.8,-0.75,1.95,1.9,-0.75,1.95,1.95,-0.75
1,3,0,1,2.2,3.4,2.87,2.25,3.3,2.85,2.2,3,2.9,2.2,3.25,2.75,2.25,3.25,2.75,2.25,3.25,2.75,2.1,3.2,3,1.75,1.95,1.8,1.9,2,1.8,-0.25,2.05,1.8,-0.25,2.075,1.825,-0.25
2,1,0,1,1.8,3.4,4,1.8,3.35,4.1,1.8,3.1,3.8,1.8,3.25,3.75,1.73,3.4,4,1.75,3.4,4,1.83,3.2,3.75,1.71,2,1.83,1.83,2.05,1.75,-0.75,2,1.85,-0.75,2.05,1.85,-0.75
1,0,0,0,1.44,3.75,6.5,1.51,3.75,6,1.55,3.5,4.8,1.5,3.4,6,1.44,3.75,6.5,1.44,3.75,6.5,1.44,3.75,6,1.65,2.05,1.66,2.1,1.95,1.85,-1,1.85,2,-0.75,1.8,2.1,-0.75
1,4,0,2,2.7,3.2,2.3,2.8,3.2,2.35,2.7,3,2.3,2.75,3.25,2.2,2.88,3.25,2.2,2.8,3.25,2.2,2.75,3.2,2.25,1.65,2.05,1.72,2,1.85,1.95,0.25,1.9,1.95,0.25,1.875,2.025,0.25
1,2,0,1,4.5,3.4,1.66,5,3.4,1.67,4.2,3.2,1.7,4.333,3.4,1.667,4.5,3.4,1.67,4.5,3.4,1.66,4.2,3.25,1.72,1.65,2.05,1.72,2,1.9,1.9,0.75,1.9,1.95,0.75,1.95,1.95,0.75
1,0,0,0,2,3.25,3.25,2.1,3.25,3.2,2,3.1,3.2,2.1,3.2,3,2,3.25,3.25,2,3.25,3.25,2,3.2,3.2,1.65,2.05,1.72,2,1.85,1.95,-0.25,1.8,2.05,-0.25,1.85,2.05,-0.25
2,2,1,0,2.25,3.25,2.75,2.1,3.25,3.2,2.1,3.1,3,2.1,3.4,2.8,2.1,3.25,3,2.1,3.25,3,2.1,3.2,3,1.75,1.95,1.8,1.9,1.9,1.9,-0.25,1.85,2,-0.25,1.9,2,-0.25
0,3,0,2,2.4,3.2,2.6,2.55,3.15,2.6,2.5,3,2.5,2.5,3.25,2.4,2.5,3,2.63,2.5,3,2.6,2.4,3.25,2.5,1.71,2,1.8,1.9,1.9,1.9,0,1.9,1.95,0,1.95,1.95,0
0,1,0,0,2.25,3.25,2.75,2.25,3.25,2.9,2.1,3.1,3,2.2,3.25,2.75,2.25,3.2,2.75,2.25,3.2,2.8,2.2,3.25,2.75,1.6,2.15,1.66,2.1,2,1.8,-0.25,2.1,1.75,-0.25,2.05,1.85,-0.25
1,1,1,0,1.9,3.25,3.5,1.9,3.3,3.75,1.8,3.2,3.7,1.909,3.25,3.4,1.83,3.25,3.75,1.85,3.25,3.75,1.9,3.2,3.5,1.65,2.05,1.8,1.9,1.87,1.93,-0.5,2,1.85,-0.5,1.975,1.925,-0.5
1,1,1,1,1.57,3.4,5.5,1.51,3.75,6,1.45,3.8,5.4,1.4,3.75,7,1.53,3.4,6,1.53,3.4,6,1.5,3.6,5.5,1.71,2,1.8,1.9,1.95,1.85,-1.25,1.95,1.9,-1.25,2.05,1.85,-1.25
4,1,2,0,1.33,4.33,7.5,1.41,4,7.5,1.4,3.9,6,1.4,3.75,7,1.4,3.75,7.5,1.4,3.75,7.5,1.33,4,8,1.65,2.05,1.57,2.25,2.05,1.7,-1.5,1.9,1.95,-1.25,2.125,1.775,-1.5
4,0,0,0,2.2,3.25,2.8,2.2,3.25,3,2.2,3,2.9,2.2,3.2,2.8,2.2,3.2,2.88,2.2,3.2,2.87,2.1,3.2,3,1.65,2.05,1.72,2,1.95,1.85,-0.25,2.05,1.8,-0.25,1.95,1.95,-0.25
0,1,0,1,2.8,3.25,2.2,3.25,3.25,2.1,3.2,3.1,2,3.2,3.2,2,3.1,3.2,2.1,3.1,3.2,2.1,3.2,3.2,2,1.71,2,1.83,1.83,1.95,1.85,0.25,1.95,1.9,0.25,1.95,1.95,0.25
1,0,0,0,2.2,3.25,2.8,2.25,3.25,2.9,2.2,3,2.9,2.1,3.4,2.8,2.2,3.2,2.88,2.2,3.2,2.87,2.2,3.25,2.75,1.65,2.05,1.72,2,1.85,1.95,-0.25,1.85,2,-0.25,1.85,2.05,-0.25
2,1,0,1,1.61,3.4,5,1.62,3.5,5.35,1.65,3.3,4.4,1.571,3.5,5,1.62,3.4,5,1.53,3.4,6,1.57,3.5,5,1.71,2,1.8,1.9,1.9,1.9,-1,1.85,2,-1,1.95,1.95,-1
1,2,1,2,2.1,3.25,3,2.25,3.25,2.9,2.1,3,3.1,2.2,3.25,2.75,2.25,3.2,2.8,2.1,3.2,3.1,2.1,3.2,3,1.71,2,1.66,2.1,1.9,1.9,-0.25,1.8,2.05,-0.25,1.9,2,-0.25
0,0,0,0,1.33,4.33,7.5,1.41,4,7.5,1.4,3.9,6,1.333,4,8,1.4,3.75,7.5,1.4,3.75,7.5,1.33,4,8,1.71,2,1.72,2,1.9,1.9,-1.5,1.85,2,-1.5,1.95,1.95,-1.5
3,0,0,0,1.44,3.75,6.5,1.45,3.85,6.75,1.45,3.8,5.4,1.4,4,6.5,1.44,3.75,6.5,1.44,3.75,6.5,1.44,3.6,6.5,1.6,2.15,1.61,2.2,1.85,1.95,-1.25,2.05,1.8,-1.5,1.85,2.05,-1.25
5,3,3,1,1.72,3.25,4.33,1.85,3.3,4,1.9,3.1,3.5,1.727,3.4,4,1.73,3.4,4,1.75,3.4,4,1.8,3.3,3.75,1.6,2.15,1.66,2.1,1.85,1.95,-0.5,1.8,2.05,-0.5,1.8,2.1,-0.5
6,2,2,0,1.53,3.5,5.5,1.55,3.6,5.75,1.5,3.7,5,1.5,3.6,5.5,1.5,3.5,6,1.5,3.5,6,1.4,3.75,7,1.6,2.15,1.72,2,1.8,2,-0.75,1.8,2.05,-0.75,1.825,2.075,-0.75
1,0,0,0,2.3,3.2,2.7,2.25,3.3,2.85,2.2,3,2.9,2.25,3.2,2.75,2.25,3.2,2.75,2.3,3.2,2.7,2.37,3.1,2.62,1.65,2.05,1.72,2,2,1.83,-0.25,2.05,1.8,-0.25,2.075,1.825,-0.25
1,4,0,1,2.4,3.2,2.6,2.45,3.25,2.65,2.3,3,2.7,2.4,3.25,2.5,2.38,3.2,2.62,2.4,3.2,2.6,2.5,3.1,2.5,1.65,2.05,1.66,2.1,1.8,2.05,0,1.8,2.05,0,1.875,2.025,0
0,0,0,0,5,3.6,1.57,5.5,3.5,1.6,4.2,3.2,1.7,5,3.25,1.615,5,3.4,1.62,5,3.4,1.61,5,3.3,1.61,1.65,2.05,1.7,2.05,1.85,1.95,1,1.85,2,1,1.85,2.05,1
1,0,0,0,1.72,3.25,4.33,1.66,3.4,5,1.7,3.2,4.2,1.667,3.4,4.333,1.67,3.4,4.5,1.66,3.4,4.5,1.66,3.3,4.5,1.71,2,1.72,2,1.85,1.95,-0.75,1.8,2.05,-0.75,1.95,1.95,-0.75
1,3,0,2,2.2,3.25,2.8,2.12,3.35,3.05,2.1,3,3.1,2.1,3.2,3,2.1,3.25,3,2.1,3.25,3,2.1,3.1,3.1,1.75,1.95,1.8,1.9,1.9,1.9,-0.25,1.95,1.9,-0.25,1.95,1.95,-0.25
3,1,2,1,1.61,3.4,5,1.6,3.5,5.5,1.6,3.4,4.6,1.571,3.5,5,1.62,3.4,5,1.61,3.4,5,1.61,3.3,5,1.55,2.25,1.66,2.1,1.75,2.05,-0.75,2,1.85,-1,2.15,1.75,-1
