FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5
2,2,0,0,2.625,2.75,2.625,2.78,2.9,2.77,2.6,2.8,2.6,2.6,2.8,2.6,2.6,2.88,2.6,2.6,2.875,2.6,2.62,2.87,2.5,1.77,1.91,,
2,1,1,0,1.5,3.4,6,1.58,3.4,5.85,1.55,3.5,4.8,1.57,3.25,5.5,1.53,3.4,6,1.533,3.4,6,1.53,3.4,5.5,1.75,1.92,,
2,0,2,0,1.909,3,3.75,1.9,3.15,4.3,1.85,2.8,4.2,1.91,3,3.75,1.83,3.1,4,1.85,3.1,4,1.9,3,3.75,1.83,1.85,,
1,2,1,1,1.909,3,3.75,1.96,3.1,3.96,1.9,2.8,4,1.83,3.2,3.75,1.91,3,4,1.909,3,4,1.9,3,3.75,1.9,1.78,,
2,1,0,0,2.1,3,3.2,2.1,2.9,4.2,2,2.8,3.6,2.1,3,3.2,2.1,2.88,3.4,2.05,2.875,3.5,2.1,2.87,3.3,2,1.7,,
0,2,0,1,2.1,3,3.2,2.15,3,3.3,2.1,2.8,3.3,2,3,3.4,2.1,3,3.25,2.1,3,3.4,2.1,2.87,3.3,1.9,1.7,,
0,0,0,0,2.25,3,2.875,2.25,2.95,3.1,2.2,2.8,3.1,2.1,3,3.2,2.3,3,2.9,2.3,2.9,3.1,2.25,2.9,3,1.9,1.7,,
2,0,0,0,2.2,3,3,2.15,3,3.3,2.1,2.8,3.3,2.1,2.88,3.4,2.1,3,3.25,2.1,3,3.4,2.1,2.87,3.3,1.9,1.7,,
0,2,0,0,4.5,3.1,1.727,4.65,3.15,1.76,3.6,3.1,1.85,5,2.88,1.73,4.5,3,1.8,4.5,3.1,1.8,4.5,3.1,1.72,1.85,1.75,,
1,2,1,1,2.875,3,2.25,3.15,3,2.2,3,2.9,2.2,3.2,3,2.1,3.1,3,2.2,3.2,3,2.2,3.2,3,2.1,1.9,1.7,,
2,0,1,0,1.25,4.5,10,1.25,4.75,11,1.2,5,10,1.25,4.5,10,1.25,4.5,10,1.25,4.75,10,1.22,4.5,12,1.6,2.05,,
0,1,0,0,4,3.1,1.8,4.65,3.15,1.77,4,3.2,1.75,4.33,3.2,1.73,4.5,3,1.8,4.5,3.1,1.8,4,3,1.83,1.75,1.85,,
0,1,0,0,1.727,3.2,4.333,1.81,3.1,4.4,1.75,3.1,4.2,1.8,3.2,4,1.83,3.25,3.75,1.909,3.1,3.8,1.72,3.1,4.5,1.65,1.95,,
2,2,0,2,1.333,4,8,1.31,4.45,9.5,1.35,3.7,7.5,1.33,4,8,1.3,4.33,8.5,1.333,4.333,8,1.3,4,9.5,1.65,1.95,,
1,3,0,2,2,3,3.4,2.06,3.2,3.55,1.9,2.9,3.8,2,3,3.4,1.91,3.1,3.75,1.909,3.1,3.75,2,2.87,3.6,1.9,1.7,,
3,0,2,0,1.727,3.2,4.333,1.8,3.33,4.5,1.8,3,4,1.67,3.25,4.5,1.67,3.25,4.75,1.667,3.25,4.75,1.66,3.3,4.5,1.68,1.95,,
3,4,1,2,4.333,3.2,1.727,4.25,3.33,1.98,3.3,3,2,4.33,3.2,1.73,4.33,3.25,1.73,4.333,3.2,1.75,4.2,3,1.8,1.85,1.8,,
1,0,0,0,1.286,4.333,9,1.26,4.75,9.5,1.3,4.2,8,1.3,4,9,1.29,4.33,9,1.286,4.333,9,1.28,4.33,8.5,1.7,2,,
4,3,2,2,1.615,3.25,5,1.7,3.43,5.4,1.7,3.2,4.2,1.57,3.25,5.5,1.67,3.2,5,1.667,3.2,5,1.57,3.3,5.5,1.77,1.9,,
0,1,0,0,4.5,3.1,1.727,4.45,3.33,1.85,3.8,3.1,1.8,4.33,3.2,1.73,4.5,3.2,1.73,4.5,3.2,1.727,4,3,1.83,1.93,1.75,,
0,3,0,2,3.3,3.1,2,3.65,3.15,2.1,3,2.9,2.2,3.2,3,2.1,3.4,3.1,2,3.4,3.1,2,3.6,2.87,2,1.9,1.7,,
2,1,1,0,1.286,4.333,9,1.28,4.54,9.9,1.3,4.2,8,1.29,4.33,9,1.25,4.5,10,1.25,4.6,10,1.28,4,10,1.7,1.93,,
2,1,1,1,2.5,2.875,2.625,2.68,2.85,2.85,2.3,2.8,2.9,2.25,2.88,3,2.5,3,2.62,2.5,3,2.625,2.5,2.8,2.75,2.02,1.65,,
