FTHG,FTAG,HTHG,HTAG,HHW,AHW,HO,AO,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
3,2,1,0,0,0,2,1,10,30,3.4,3.1,1.95,3.1,3,1.9,3.2,3.2,2,3.25,3.25,1.95,3.2,3.2,2
2,3,2,0,0,0,0,4,10,10,2.15,3.15,3,1.9,2.9,3.2,2,3.2,3.2,2,3.2,3.2,2.1,3.2,3
5,2,2,1,0,1,6,3,20,50,2.2,3.1,2.9,2.2,2.9,2.7,2.1,3.2,3,2.2,3.1,2.88,2.2,3.2,2.8
2,4,0,2,0,0,2,3,45,20,1.8,3.35,3.8,1.65,3.2,3.9,1.8,3.5,3.5,1.73,3.25,4.2,1.72,3.4,4
2,0,1,0,1,2,7,3,20,40,2.1,3.2,3,1.9,2.9,3.2,1.91,3.2,3.5,1.91,3.2,3.4,1.85,3.25,3.6
2,2,0,2,0,0,0,0,65,20,2.3,3.4,2.6,2.4,2.9,2.4,2.37,3.25,2.5,2.38,3.1,2.6,2.3,3.1,2.75
2,1,1,0,2,0,1,1,0,55,2.2,3.4,2.7,2.2,2.9,2.7,2.2,3.25,2.75,2.1,3.1,3.1,2.2,3.2,2.8
0,1,0,1,0,0,4,4,45,40,2.6,3.1,2.4,2.35,3,2.35,2.75,3.2,2.25,2.7,3.1,2.3,2.65,3.1,2.35
1,2,0,1,0,0,0,4,20,20,2.7,3,2.4,2.4,2.9,2.4,2.5,3.25,2.37,2.6,3.1,2.4,2.75,3.2,2.25
0,0,0,0,1,0,2,4,20,30,1.85,3.2,3.8,1.8,3,3.5,1.73,3.5,3.75,1.75,3.2,4.2,1.8,3.3,3.75
2,0,0,0,1,0,3,4,20,30,2.6,3.2,2.4,2.3,2.8,2.6,2.75,3.25,2.2,2.5,3.1,2.5,2.5,3.1,2.5
3,1,2,1,0,0,1,6,20,40,2.25,3.2,2.8,2.3,2.9,2.5,2.2,3.25,2.75,2.2,3.1,2.88,2.2,3.2,2.8
1,3,1,2,0,0,1,2,10,20,2.6,3.2,2.4,2.35,3,2.35,2.6,3.2,2.37,2.6,3.1,2.4,2.62,3.1,2.4
0,0,0,0,0,0,2,1,10,0,2.15,2.9,3.2,2.1,2.9,2.9,,,,1.95,3.2,3.2,2,3.2,3.2
2,0,1,0,0,0,2,1,0,20,1.35,4,7.2,1.5,3.2,5,1.44,3.5,7,1.4,3.75,7,1.36,4,7
3,2,1,1,0,0,0,4,0,10,1.21,5.2,10.5,1.25,4.3,8,1.25,4.5,10,1.2,5,11,1.2,5,11
2,0,0,0,0,0,6,0,0,40,1.25,4.35,8.4,1.3,4,7,1.36,3.75,8,1.3,4.33,8,1.28,4.5,8
1,5,0,4,0,0,0,7,40,10,2,3.1,3.35,2,2.9,3,2.2,3.25,2.75,2,3.1,3.3,2,3.3,3.1
2,0,1,0,0,0,1,1,10,0,1.75,3.2,4.2,1.7,3.1,3.8,1.67,3.4,4.33,1.67,3.25,4.6,1.72,3.4,4
0,0,0,0,0,0,3,1,45,45,1.77,3.2,4.05,1.75,3.1,3.6,1.8,3.25,3.75,1.7,3.25,4.33,1.66,3.4,4.33
2,0,0,0,0,0,2,1,10,30,1.95,3.2,3.35,1.9,2.9,3.2,1.91,3.25,3.4,2,3.1,3.3,2,3.2,3.2
1,2,1,0,0,0,3,1,45,45,2.05,3.1,3.2,2,2.9,3,2.1,3.2,3,2,3.1,3.3,1.9,3.25,3.4
4,0,0,0,0,0,9,2,20,45,1.43,3.6,6.8,1.5,3.4,4.7,1.5,3.4,6,1.4,3.75,7,1.4,3.75,7
1,0,0,0,0,0,0,0,40,65,2.65,2.95,2.45,2.4,2.9,2.4,2.5,3.25,2.37,2.6,3.1,2.4,2.5,3.25,2.4
0,1,0,0,0,1,1,1,10,40,1.75,3.2,4,1.8,3,3.5,1.73,3.4,4,1.75,3.25,4,1.72,3.4,4
1,3,0,1,0,0,2,0,20,20,2.6,3,2.5,2.4,2.9,2.4,2.75,3.2,2.25,2.63,3.1,2.38,2.5,3.25,2.4
4,1,2,0,1,0,1,0,20,35,2.95,3,2.25,3.2,2.9,1.9,3,3.2,2.1,3,3.1,2.05,3,3.2,2.1
6,1,3,1,1,1,2,3,20,40,2.37,2.9,2.8,2.3,2.9,2.5,2.25,3.2,2.75,2.3,3.1,2.7,2.37,3.1,2.62
3,1,1,0,0,1,3,1,40,30,1.91,3.1,3.6,2,2.9,3,1.8,3.5,3.5,1.85,3.25,3.6,1.9,3.1,3.6
1,3,1,2,0,1,2,4,0,10,3.25,2.95,2.1,2.9,2.9,2.1,3,3.2,2.1,3.1,3.1,2.1,3.1,3.1,2.1
0,2,0,2,0,0,8,6,35,80,1.8,3.2,3.9,1.8,3,3.5,1.8,3.25,3.75,1.75,3.25,4,1.8,3.4,3.6
1,2,1,1,0,0,1,4,45,20,3.05,2.9,2.25,3,2.9,2,2.8,3.2,2.2,3.1,3,2.15,3,3,2.2
1,0,0,0,0,0,1,0,20,20,1.8,3.2,4,1.65,3.2,3.9,,,,1.75,3.25,4,1.8,3.3,3.75
1,0,1,0,0,0,2,2,40,10,1.28,4.4,8.6,1.4,3.6,5.5,,,,1.33,4,8,1.33,4,8
