Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
D1,2008-9-1,St Pauli,Schalke 04,0,2,A,0,1,A,20725,9,6,4,3,0,0,6,2,11,12,3,7,0,2,0,0,0,20,,,,3,2.9,2,2.87,3.25,2.1,3.1,3.1,2.1,3,3.2,2.1,3,3.2,2.1
D1,2008-9-1,Stuttgart,Hertha,0,0,D,0,0,D,20500,4,7,2,1,0,0,0,4,13,24,2,7,4,4,1,0,65,40,,,,2.3,2.9,2.5,2.2,3.2,2.8,2.4,3.1,2.6,2.38,3.2,2.62,2.37,3.1,2.62
D1,2009-9-1,FC Koln,Hamburg,2,1,H,0,1,A,30000,23,11,5,4,0,1,8,3,14,22,1,0,1,1,0,0,10,10,,,,2.2,2.9,2.7,2,3.25,3.2,2.2,3.1,2.9,2.2,3.2,2.8,2.2,3.25,2.75
D1,2009-9-1,Kaiserslautern,Werder Bremen,2,1,H,0,1,A,41582,17,10,10,4,0,0,8,6,15,19,1,4,1,5,0,0,10,50,,,,1.7,3.1,3.8,1.57,3.75,4.5,1.62,3.3,5,1.67,3.25,4.5,1.66,3.3,4.5
D1,2015-9-1,Bayern Munich,Freiburg,1,0,H,0,0,D,40000,26,5,11,1,0,0,10,4,21,12,3,5,1,1,0,0,10,10,,,,1.3,4,7,1.3,4.5,7.5,1.3,4.33,8,1.3,4.33,8,1.28,4.5,8
D1,2015-9-1,Hamburg,M'gladbach,3,3,D,2,1,H,53000,9,12,5,7,0,0,8,6,15,19,2,1,3,1,0,0,30,10,,,,1.75,3.1,3.6,1.91,3.25,3.4,,,,1.8,3.25,3.75,1.83,3.3,3.6
D1,2015-9-1,Leverkusen,St Pauli,3,1,H,1,0,H,20000,17,4,6,2,0,0,8,1,16,20,3,3,5,4,1,0,75,40,,,,1.25,4.3,8,1.2,5,11,1.25,4.75,9,1.3,4.33,8,1.28,4.5,8
D1,2015-9-1,Nurnberg,Kaiserslautern,0,2,A,0,0,D,30000,10,5,4,3,0,1,10,5,11,23,3,5,3,1,0,0,30,10,,,,2.7,2.9,2.2,2.87,3.25,2.1,2.75,3.2,2.25,2.5,3.25,2.38,2.62,3.2,2.3
D1,2015-9-1,Schalke 04,Dortmund,1,0,H,1,0,H,60204,12,9,6,3,1,1,3,6,27,26,2,2,1,4,0,0,10,40,,,,2.2,2.8,2.8,2.2,3.25,2.75,2.4,3.1,2.62,2.38,3.25,2.5,2.4,2.87,2.8
D1,2015-9-1,Werder Bremen,FC Koln,1,1,D,0,1,A,26700,16,7,9,5,1,0,6,2,18,13,3,1,3,2,0,0,30,20,,,,1.8,3,3.5,1.8,3.25,3.75,1.83,3.2,3.8,1.83,3.2,3.75,1.72,3.4,4
